season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,inferred_fan_val,rule_type,harmonized_fan_percent
4,3,Apolo Anton Ohno,Athlete,1st Place,23.0,3,5.0,0.1055045871559633,11,False,0.10550458715596331,Percentage,0.10550458715596331
4,3,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.0963302752293578,8,False,0.09633027522935783,Percentage,0.09633027522935783
4,3,Clyde Drexler,Athlete,Eliminated Week 5,16.0,3,10.0,0.073394495412844,5,False,0.09633027522935785,Percentage,0.09633027522935785
4,3,Heather Mills,Model,Eliminated Week 6,24.0,3,1.0,0.110091743119266,6,False,0.11009174311926603,Percentage,0.11009174311926603
4,3,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,1.0,0.110091743119266,9,False,0.11009174311926603,Percentage,0.11009174311926603
4,3,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,1.0,0.110091743119266,11,False,0.11009174311926603,Percentage,0.11009174311926603
4,3,John Ratzenberger,Actor/Actress,Eliminated Week 7,20.0,3,9.0,0.091743119266055,7,False,0.09174311926605502,Percentage,0.09174311926605502
4,3,Laila Ali,Athlete,3rd Place,21.0,3,6.0,0.0963302752293578,11,False,0.09633027522935783,Percentage,0.09633027522935783
4,3,Leeza Gibbons,TV Personality,Eliminated Week 4,24.0,3,1.0,0.110091743119266,4,False,0.11009174311926603,Percentage,0.11009174311926603
4,3,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,21.0,3,6.0,0.0963302752293578,3,True,0.07339449541284401,Percentage,0.07339449541284401
4,4,Apolo Anton Ohno,Athlete,1st Place,26.0,3,2.0,0.1368421052631579,11,False,0.1368421052631327,Percentage,0.1368421052631327
4,4,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,5.0,0.1105263157894736,8,False,0.11052631578944838,Percentage,0.11052631578944838
4,4,Clyde Drexler,Athlete,Eliminated Week 5,15.0,3,9.0,0.0789473684210526,5,False,0.08421052631587787,Percentage,0.08421052631587787
4,4,Heather Mills,Model,Eliminated Week 6,23.0,3,4.0,0.1210526315789473,6,False,0.12105263157892208,Percentage,0.12105263157892208
4,4,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,3.0,0.1263157894736842,9,False,0.12631578947365898,Percentage,0.12631578947365898
4,4,Joey Fatone,Singer/Rapper,2nd Place,28.0,3,1.0,0.1473684210526315,11,False,0.1473684210526063,Percentage,0.1473684210526063
4,4,John Ratzenberger,Actor/Actress,Eliminated Week 7,16.0,3,7.0,0.0842105263157894,7,False,0.08421052631576419,Percentage,0.08421052631576419
4,4,Laila Ali,Athlete,3rd Place,21.0,3,5.0,0.1105263157894736,11,False,0.11052631578944838,Percentage,0.11052631578944838
4,4,Leeza Gibbons,TV Personality,Eliminated Week 4,16.0,3,7.0,0.0842105263157894,4,True,0.07894736842114107,Percentage,0.07894736842114107
4,5,Apolo Anton Ohno,Athlete,1st Place,30.0,3,1.0,0.1704545454545454,11,False,0.1704545454545454,Percentage,0.1704545454545454
4,5,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,17.0,3,7.0,0.096590909090909,8,False,0.096590909090909,Percentage,0.096590909090909
4,5,Clyde Drexler,Athlete,Eliminated Week 5,13.0,3,8.0,0.0738636363636363,5,True,0.0738636363636363,Percentage,0.0738636363636363
4,5,Heather Mills,Model,Eliminated Week 6,21.0,3,5.0,0.1193181818181818,6,False,0.1193181818181818,Percentage,0.1193181818181818
4,5,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,4.0,0.1363636363636363,9,False,0.1363636363636363,Percentage,0.1363636363636363
4,5,Joey Fatone,Singer/Rapper,2nd Place,25.0,3,3.0,0.1420454545454545,11,False,0.1420454545454545,Percentage,0.1420454545454545
4,5,John Ratzenberger,Actor/Actress,Eliminated Week 7,18.0,3,6.0,0.1022727272727272,7,False,0.1022727272727272,Percentage,0.1022727272727272
4,5,Laila Ali,Athlete,3rd Place,28.0,3,2.0,0.1590909090909091,11,False,0.1590909090909091,Percentage,0.1590909090909091
4,6,Apolo Anton Ohno,Athlete,1st Place,28.0,3,1.0,0.1647058823529411,11,False,0.16470588235294115,Percentage,0.16470588235294115
4,6,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.1235294117647058,8,False,0.12352941176470592,Percentage,0.12352941176470592
4,6,Heather Mills,Model,Eliminated Week 6,23.0,3,5.0,0.1352941176470588,6,True,0.11176470588235293,Percentage,0.11176470588235293
4,6,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,4.0,0.1411764705882353,9,False,0.14117647058823535,Percentage,0.14117647058823535
4,6,Joey Fatone,Singer/Rapper,2nd Place,27.0,3,3.0,0.1588235294117647,11,False,0.15882352941176475,Percentage,0.15882352941176475
