season,week,rank_elim_judgesave,perc_elim_judgesave,fan_elim_judgesave,actual,is_ignored
4,5,Laila Ali,Clyde Drexler,Clyde Drexler,Clyde Drexler,False
4,6,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,Heather Mills,False
4,7,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,John Ratzenberger,False
4,8,Laila Ali,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,False
4,9,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering,False
4,10,Laila Ali,Laila Ali,Laila Ali,,True
5,1,Josie Maran,Josie Maran,Josie Maran,Josie Maran,False
5,2,Wayne Newton,Mark Cuban,Mark Cuban,Albert Reed,False
5,3,Wayne Newton,Wayne Newton,Wayne Newton,Wayne Newton,False
5,4,Mark Cuban,Mark Cuban,Mark Cuban,Floyd Mayweather Jr. ,False
5,5,Helio Castroneves,Marie Osmond,Marie Osmond,Mark Cuban,False
5,6,Jane Seymour,Jane Seymour,Marie Osmond,Sabrina Bryan,False
5,7,Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour,False
5,8,Marie Osmond,Marie Osmond,Jennie Garth,Cameron Mathison,False
5,9,Marie Osmond,Marie Osmond,Marie Osmond,Jennie Garth,False
5,10,Helio Castroneves,Marie Osmond,Marie Osmond,,True
6,1,Adam Carolla,Adam Carolla,Adam Carolla,,True
6,2,Monica Seles,Monica Seles,Monica Seles,"Monica Seles, Penn Jillette",False
6,3,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Steve Guttenberg,False
6,4,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,False
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,Priscilla Presley,False
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin,False
6,7,Cristian de la Fuente,Cristian de la Fuente,Cristian de la Fuente,Shannon Elizabeth,False
6,8,Marissa Jaret Winokur,Marissa Jaret Winokur,Jason Taylor,Mario,False
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,False
6,10,Jason Taylor,Cristian de la Fuente,Cristian de la Fuente,,True
7,1,Cloris Leachman,Jeffrey Ross,Jeffrey Ross,"Jeffrey Ross, Ted McGinley",False
7,2,Cloris Leachman,Cloris Leachman,Rocco DiSpirito,Kim Kardashian,False
7,3,Cloris Leachman,Cloris Leachman,Cloris Leachman,,True
7,4,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,False
7,5,Cloris Leachman,Cloris Leachman,Cloris Leachman,Toni Braxton,False
7,6,Maurice Greene,Cloris Leachman,Cloris Leachman,Cloris Leachman,False
7,7,Warren Sapp,Warren Sapp,Cody Linley,Susan Lucci,False
7,8,Cody Linley,Cody Linley,Cody Linley,Maurice Greene,False
7,9,Cody Linley,Cody Linley,Cody Linley,Cody Linley,False
7,10,Lance Bass,Lance Bass,Lance Bass,,True
8,1,Steve Wozniak,Steve Wozniak,Steve Wozniak,,True
8,2,Steve-O,Steve-O,David Alan Grier,Belinda Carlisle,False
8,3,Steve Wozniak,Steve Wozniak,Steve-O,Denise Richards,False
8,4,Steve Wozniak,Steve Wozniak,Steve Wozniak,"Holly Madison, Steve Wozniak",False
8,5,Steve-O,Steve-O,Lawrence Taylor,David Alan Grier,False
8,6,Lawrence Taylor,Steve-O,Steve-O,Steve-O,False
8,7,Ty Murray,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,False
8,8,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,Chuck Wicks,False
8,9,Ty Murray,Ty Murray,Ty Murray,Lil' Kim,False
8,10,Melissa Rycroft,Ty Murray,Ty Murray,Ty Murray,False
8,11,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,,True
9,1,Ashley Hamiliton,Ashley Hamiliton,Ashley Hamiliton,"Ashley Hamiliton, Macy Gray",False
9,2,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland,False
9,3,Michael Irvin,Michael Irvin,Michael Irvin,Debi Mazar,False
9,4,Michael Irvin,Louie Vito,Louie Vito,Chuck Liddell,False
9,5,Michael Irvin,Michael Irvin,Michael Irvin,Natalie Coughlin,False
9,6,Michael Irvin,Michael Irvin,Melissa Joan Hart,"Louie Vito, Melissa Joan Hart",False
9,7,Mark Dacascos,Mark Dacascos,Mark Dacascos,"Mark Dacascos, Michael Irvin",False
9,8,Aaron Carter,Aaron Carter,Aaron Carter,Aaron Carter,False
9,9,Donny Osmond,Donny Osmond,Kelly Osbourne,Joanna Krupa,False
9,10,Mya,Kelly Osbourne,Kelly Osbourne,,True
10,1,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,,True
10,2,Buzz Aldrin,Kate Gosselin,Chad Ochocinco,Shannen Doherty,False
10,3,Aiden Turner,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,False
10,4,Kate Gosselin,Kate Gosselin,Kate Gosselin,Aiden Turner,False
10,5,Evan Lysacek,Kate Gosselin,Kate Gosselin,Kate Gosselin,False
10,6,Jake Pavelka,Jake Pavelka,Jake Pavelka,Jake Pavelka,False
10,7,Niecy Nash,Niecy Nash,Niecy Nash,Pamela Anderson,False
10,8,Erin Andrews,Niecy Nash,Niecy Nash,Niecy Nash,False
10,9,Erin Andrews,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,False
10,10,Evan Lysacek,Evan Lysacek,Evan Lysacek,,True
11,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,False
11,2,Margaret Cho,Michael Bolton,Michael Bolton,Michael Bolton,False
11,3,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho,False
11,4,The Situation,The Situation,The Situation,The Situation,False
11,5,Bristol Palin,Bristol Palin,Kyle Massey,Florence Henderson,False
11,6,Kurt Warner,Kurt Warner,Bristol Palin,Audrina Patridge,False
11,7,Bristol Palin,Bristol Palin,Kyle Massey,Rick Fox,False
11,8,Bristol Palin,Bristol Palin,Bristol Palin,Kurt Warner,False
11,9,Bristol Palin,Bristol Palin,Bristol Palin,Brandy,False
11,10,Kyle Massey,Bristol Palin,Bristol Palin,,True
12,1,Mike Catherwood,Mike Catherwood,Mike Catherwood,,True
12,2,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood,False
12,3,Romeo,Wendy Williams,Wendy Williams,Wendy Williams,False
12,4,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,Sugar Ray Leonard,False
12,5,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,Petra Nemcova,False
12,6,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho,False
12,7,Kirstie Alley,Kirstie Alley,Kirstie Alley,Kendra Wilkinson,False
12,8,Ralph Macchio,Ralph Macchio,Ralph Macchio,Romeo,False
12,9,Hines Ward,Ralph Macchio,Ralph Macchio,Ralph Macchio,False
12,10,Kirstie Alley,Kirstie Alley,Kirstie Alley,,True
13,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),False
13,2,Chaz Bono,Chaz Bono,Hope Solo,Elisabetta Canalis,False
13,3,Chaz Bono,Chaz Bono,Nancy Grace,Kristin Cavallari,False
13,4,Carson Kressley,Carson Kressley,Chynna Phillips,Chynna Phillips,False
13,5,Carson Kressley,Carson Kressley,Carson Kressley,Carson Kressley,False
13,6,J.R. Martinez,Chaz Bono,Chaz Bono,Chaz Bono,False
13,7,Nancy Grace,Nancy Grace,Nancy Grace,David Arquette,False
13,8,Rob Kardashian,Nancy Grace,Nancy Grace,Nancy Grace,False
13,9,Rob Kardashian,Hope Solo,Hope Solo,Hope Solo,False
13,10,Ricki Lake,Ricki Lake,Ricki Lake,,True
14,1,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,,True
14,2,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova,False
14,3,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Jack Wagner,False
14,4,Gladys Knight,Gladys Knight,Gladys Knight,Sherri Sheperd,False
14,5,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,False
14,6,Roshon Fegan,Gladys Knight,Gladys Knight,Gladys Knight,False
14,7,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,Jaleel White,False
14,8,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,"Melissa Gilbert, Roshon Fegan",False
14,9,Katherine Jenkins,Katherine Jenkins,Donald Driver,Maria Menounos,False
14,10,Donald Driver,William Levy,William Levy,,True
15,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,False
15,2,Bristol Palin,Bristol Palin,Kirstie Alley,Joey Fatone,False
15,3,Bristol Palin,Bristol Palin,Drew Lachey,"Drew Lachey, Helio Castroneves",False
15,4,Kirstie Alley,Kirstie Alley,Kirstie Alley,Bristol Palin,False
15,5,Kelly Monaco,Kelly Monaco,Kelly Monaco,,True
15,6,Emmitt Smith,Gilles Marini,Gilles Marini,Sabrina Bryan,False
15,7,Apolo Anton Ohno,Kirstie Alley,Kirstie Alley,,True
15,8,Kirstie Alley,Kirstie Alley,Kirstie Alley,"Gilles Marini, Kirstie Alley",False
15,9,Emmitt Smith,Emmitt Smith,Emmitt Smith,"Apolo Anton Ohno, Emmitt Smith",False
15,10,Shawn Johnson,Shawn Johnson,Shawn Johnson,,True
16,1,D. L. Hughley,D. L. Hughley,D. L. Hughley,,True
16,2,D. L. Hughley,D. L. Hughley,D. L. Hughley,,True
16,3,Wynonna Judd,Wynonna Judd,Wynonna Judd,Wynonna Judd,False
16,4,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,False
16,5,Andy Dick,Andy Dick,Andy Dick,D. L. Hughley,False
16,6,Victor Ortiz,Victor Ortiz,Victor Ortiz,Victor Ortiz,False
16,7,Sean Lowe,Andy Dick,Andy Dick,Andy Dick,False
16,8,Jacoby Jones,Sean Lowe,Sean Lowe,Sean Lowe,False
16,9,Zendaya,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,False
16,10,Jacoby Jones,Jacoby Jones,Jacoby Jones,Alexandra Raisman,False
17,1,Bill Nye,Bill Nye,Bill Nye,,True
17,2,Bill Nye,Bill Nye,Bill Nye,Keyshawn Johnson,False
17,3,Bill Nye,Bill Nye,Bill Nye,Bill Nye,False
17,4,Valerie Harper,Valerie Harper,Valerie Harper,Valerie Harper,False
17,5,Leah Remini,Bill Engvall,Bill Engvall,Christina Milian,False
17,6,Bill Engvall,Bill Engvall,Bill Engvall,,True
17,7,Bill Engvall,Bill Engvall,Leah Remini,"Nicole ""Snooki"" Polizzi",False
17,8,Bill Engvall,Bill Engvall,Elizabeth Berkley Lauren,Brant Daugherty,False
17,9,Bill Engvall,Bill Engvall,Amber Riley,Elizabeth Berkley Lauren,False
17,10,Bill Engvall,Bill Engvall,Bill Engvall,Leah Remini,False
17,11,Corbin Bleu,Bill Engvall,Bill Engvall,Bill Engvall,False
18,1,Diana Nyad,Diana Nyad,Diana Nyad,,True
18,2,Candace Cameron Bure,NeNe Leakes,NeNe Leakes,Sean Avery,False
18,3,Drew Carey,Drew Carey,Drew Carey,,True
18,4,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,,True
18,5,Drew Carey,Drew Carey,Drew Carey,Cody Simpson,False
18,6,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,Drew Carey,False
18,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,NeNe Leakes,False
18,8,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,Danica McKellar,False
18,9,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,Charlie White,False
18,10,Candace Cameron Bure,Candace Cameron Bure,Candace Cameron Bure,James Maslow,False
19,1,Betsey Johnson,Betsey Johnson,Betsey Johnson,Lolo Jones,False
19,2,Michael Waltrip,Michael Waltrip,Tavis Smiley,Tavis Smiley,False
19,3,Randy Couture,Randy Couture,Randy Couture,Randy Couture,False
19,4,Jonathan Bennett,Jonathan Bennett,Michael Waltrip,Betsey Johnson,False
19,5,Tommy Chong,Michael Waltrip,Michael Waltrip,,True
19,6,Antonio Sabato Jr.,Antonio Sabato Jr.,Michael Waltrip,Jonathan Bennett,False
19,7,Michael Waltrip,Michael Waltrip,Michael Waltrip,Antonio Sabato Jr.,False
19,8,Sadie Robertson,Michael Waltrip,Michael Waltrip,Michael Waltrip,False
19,9,Tommy Chong,Tommy Chong,Tommy Chong,Lea Thompson,False
19,10,Sadie Robertson,Tommy Chong,Tommy Chong,Tommy Chong,False
19,11,Bethany Mota,Bethany Mota,Bethany Mota,Bethany Mota,False
20,1,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,,True
20,2,Chris Soules,Chris Soules,Charlotte McKinney,Redfoo,False
20,3,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,False
20,4,Chris Soules,Chris Soules,Suzanne Somers,Michael Sam,False
20,5,Robert Herjavec,Robert Herjavec,Chris Soules,Suzanne Somers,False
20,6,Robert Herjavec,Robert Herjavec,Robert Herjavec,Patti LaBelle,False
20,7,Chris Soules,Chris Soules,Chris Soules,Willow Shields,False
20,8,Robert Herjavec,Robert Herjavec,Robert Herjavec,"Chris Soules, Robert Herjavec",False
20,9,Noah Galloway,Noah Galloway,Rumer Willis,Nastia Liukin,False
20,10,Riker Lynch,Noah Galloway,Noah Galloway,,True
21,1,Chaka Khan,Chaka Khan,Chaka Khan,,True
21,2,Chaka Khan,Chaka Khan,Chaka Khan,"Chaka Khan, Victor Espinoza",False
21,3,Gary Busey,Paula Deen,Paula Deen,,True
21,4,Gary Busey,Gary Busey,Gary Busey,Gary Busey,False
21,5,Paula Deen,Paula Deen,Paula Deen,,True
21,6,Paula Deen,Paula Deen,Paula Deen,Paula Deen,False
21,7,Alek Skarlatos,Alek Skarlatos,Nick Carter,Hayes Grier,False
21,8,Andy Grammer,Andy Grammer,Andy Grammer,Andy Grammer,False
21,9,Alek Skarlatos,Alek Skarlatos,Nick Carter,Alexa PenaVega,False
21,10,Bindi Irwin,Nick Carter,Nick Carter,,True
21,11,Alek Skarlatos,Alek Skarlatos,Alek Skarlatos,Carlos PenaVega,False
22,1,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,,True
22,2,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,False
22,3,Mischa Barton,Mischa Barton,Mischa Barton,Mischa Barton,False
22,4,Doug Flutie,Doug Flutie,Jodie Sweetin,Marla Maples,False
22,5,Antonio Brown,Antonio Brown,Antonio Brown,,True
22,6,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,False
22,7,Jodie Sweetin,Jodie Sweetin,Kim Fields,"Kim Fields, Von Miller",False
22,8,Wanya Morris,Wanya Morris,Antonio Brown,Jodie Sweetin,False
22,9,Antonio Brown,Antonio Brown,Antonio Brown,"Antonio Brown, Wanya Morris",False
22,10,Ginger Zee,Ginger Zee,Ginger Zee,,True
23,1,Rick Perry,Rick Perry,Rick Perry,,True
23,2,Rick Perry,Rick Perry,Rick Perry,Jake T. Austin,False
23,3,Rick Perry,Rick Perry,Rick Perry,Rick Perry,False
23,4,Babyface,Babyface,Babyface,"Babyface, Vanilla Ice",False
23,5,Amber Rose,Amber Rose,Amber Rose,,True
23,6,Amber Rose,Amber Rose,Amber Rose,Amber Rose,False
23,7,Marilu Henner,Marilu Henner,Marilu Henner,Maureen McCormick,False
23,8,Marilu Henner,Terra Jole,Terra Jole,Ryan Lochte,False
23,9,James Hinchcliffe,James Hinchcliffe,James Hinchcliffe,Marilu Henner,False
23,10,Calvin Johnson Jr.,Calvin Johnson Jr.,Jana Kramer,Terra Jole,False
23,11,Calvin Johnson Jr.,Jana Kramer,Jana Kramer,Jana Kramer,False
24,1,Chris Kattan,Chris Kattan,Chris Kattan,,True
24,2,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,False
24,3,Bonner Bolton,Bonner Bolton,Bonner Bolton,Charo,False
24,4,Mr. T,Mr. T,Mr. T,Mr. T,False
24,5,David Ross,David Ross,Bonner Bolton,Erika Jayne,False
24,6,Nick Viall,Nick Viall,Nancy Kerrigan,Heather Morris,False
24,7,Bonner Bolton,Bonner Bolton,Nick Viall,"Nancy Kerrigan, Nick Viall",False
24,8,Simone Biles,Bonner Bolton,Bonner Bolton,Bonner Bolton,False
24,9,David Ross,David Ross,Normani,Simone Biles,False
24,10,David Ross,David Ross,David Ross,,True
25,1,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,,True
25,2,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,"Barbara Corcoran, Debbie Gibson",False
25,3,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,,True
25,4,Nick Lachey,Nick Lachey,Nick Lachey,Derek Fisher,False
25,5,Nick Lachey,Nick Lachey,Nick Lachey,Sasha Pieterse,False
25,6,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,False
25,7,Nikki Bella,Nikki Bella,Nikki Bella,"Nikki Bella, Vanessa Lachey",False
25,8,Drew Scott,Victoria Arlen,Victoria Arlen,Terrell Owens,False
25,9,Drew Scott,Frankie Muniz,Frankie Muniz,Victoria Arlen,False
25,10,Drew Scott,Drew Scott,Drew Scott,Drew Scott,False
26,1,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Johnny Damon,"Jamie Anderson, Johnny Damon",False
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,"Arike Ogunbowale, Kareem Abdul-Jabbar",False
26,3,Chris Mazdzer,Jennie Finch Daigle,Jennie Finch Daigle,"Chris Mazdzer, Jennie Finch Daigle, Mirai Nagasu",False
26,4,Tonya Harding,Tonya Harding,Tonya Harding,,True
27,1,Joe Amabile,Joe Amabile,Joe Amabile,Nikki Glaser,False
27,2,Joe Amabile,Joe Amabile,Joe Amabile,Danelle Umstead,False
27,3,Joe Amabile,Joe Amabile,John Schneider,Nancy McKeon,False
27,4,Joe Amabile,Bobby Bones,Bobby Bones,Tinashe,False
27,5,Bobby Bones,Joe Amabile,Joe Amabile,,True
27,6,John Schneider,John Schneider,Bobby Bones,Mary Lou Retton,False
27,7,Joe Amabile,Joe Amabile,DeMarcus Ware,"DeMarcus Ware, John Schneider",False
27,8,Bobby Bones,Joe Amabile,Joe Amabile,"Joe Amabile, Juan Pablo Di Pace",False
27,9,Bobby Bones,Bobby Bones,Evanna Lynch,,True
