season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated
2,6,Lisa Rinna,Actor/Actress,Eliminated Week 7,27.0,3,3.0,0.20300751879699247,7,False
2,6,Stacy Keibler,Athlete,3rd Place,30.0,3,1.0,0.22556390977443608,9,False
2,7,Drew Lachey,Singer/Rapper,1st Place,27.5,3,1.0,0.2696078431372549,9,False
2,7,Jerry Rice,Athlete,2nd Place,20.5,3,4.0,0.20098039215686275,9,False
2,7,Lisa Rinna,Actor/Actress,Eliminated Week 7,26.5,3,3.0,0.25980392156862747,7,True
2,7,Stacy Keibler,Athlete,3rd Place,27.5,3,1.0,0.2696078431372549,9,False
2,8,Drew Lachey,Singer/Rapper,1st Place,28.9998,3,1.0,0.34387291318097685,9,False
2,8,Jerry Rice,Athlete,2nd Place,26.666600000000003,3,3.0,0.31620636785880724,9,False
2,8,Stacy Keibler,Athlete,3rd Place,28.6665,3,2.0,0.33992071896021603,9,False
3,1,Emmitt Smith,Athlete,1st Place,24.0,3,2.0,0.11320754716981132,11,False
3,1,Harry Hamlin,Actor/Actress,Eliminated Week 3,17.0,3,8.0,0.08018867924528301,3,False
3,1,Jerry Springer,TV Personality,Eliminated Week 7,16.0,3,9.0,0.07547169811320754,7,False
3,1,Joey Lawrence,Actor/Actress,3rd Place,21.0,3,5.0,0.09905660377358491,11,False
3,1,Mario Lopez,Actor/Actress,2nd Place,26.0,3,1.0,0.12264150943396226,11,False
3,1,Monique Coleman,Actor/Actress,Eliminated Week 8,19.0,3,6.0,0.08962264150943396,8,False
3,1,Sara Evans,Singer/Rapper,Withdrew,15.0,3,10.0,0.07075471698113207,10,False
3,1,Shanna Moakler,Model,Eliminated Week 2,18.0,3,7.0,0.08490566037735849,2,False
3,1,Tucker Carlson,TV Personality,Eliminated Week 1,12.0,3,11.0,0.05660377358490566,1,True
3,1,Vivica A. Fox,Actor/Actress,Eliminated Week 4,22.0,3,3.0,0.10377358490566038,4,False
3,1,Willa Ford,Singer/Rapper,Eliminated Week 5,22.0,3,3.0,0.10377358490566038,5,False
3,2,Emmitt Smith,Athlete,1st Place,24.0,3,3.0,0.10434782608695652,11,False
3,2,Harry Hamlin,Actor/Actress,Eliminated Week 3,21.0,3,7.0,0.09130434782608696,3,False
3,2,Jerry Springer,TV Personality,Eliminated Week 7,19.0,3,10.0,0.08260869565217391,7,False
3,2,Joey Lawrence,Actor/Actress,3rd Place,29.0,3,1.0,0.12608695652173912,11,False
3,2,Mario Lopez,Actor/Actress,2nd Place,21.0,3,7.0,0.09130434782608696,11,False
3,2,Monique Coleman,Actor/Actress,Eliminated Week 8,26.0,3,2.0,0.11304347826086956,8,False
3,2,Sara Evans,Singer/Rapper,Withdrew,21.0,3,7.0,0.09130434782608696,10,False
3,2,Shanna Moakler,Model,Eliminated Week 2,22.0,3,6.0,0.09565217391304348,2,True
3,2,Vivica A. Fox,Actor/Actress,Eliminated Week 4,24.0,3,3.0,0.10434782608695652,4,False
3,2,Willa Ford,Singer/Rapper,Eliminated Week 5,23.0,3,5.0,0.1,5,False
3,3,Emmitt Smith,Athlete,1st Place,19.0,3,9.0,0.09178743961352658,11,False
3,3,Harry Hamlin,Actor/Actress,Eliminated Week 3,22.0,3,4.0,0.10628019323671498,3,True
3,3,Jerry Springer,TV Personality,Eliminated Week 7,21.0,3,8.0,0.10144927536231885,7,False
3,3,Joey Lawrence,Actor/Actress,3rd Place,22.0,3,4.0,0.10628019323671498,11,False
3,3,Mario Lopez,Actor/Actress,2nd Place,22.0,3,4.0,0.10628019323671498,11,False
3,3,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,1.0,0.13043478260869565,8,False
3,3,Sara Evans,Singer/Rapper,Withdrew,25.0,3,3.0,0.12077294685990338,10,False
3,3,Vivica A. Fox,Actor/Actress,Eliminated Week 4,27.0,3,1.0,0.13043478260869565,4,False
3,3,Willa Ford,Singer/Rapper,Eliminated Week 5,22.0,3,4.0,0.10628019323671498,5,False
3,4,Emmitt Smith,Athlete,1st Place,24.0,3,4.0,0.12121212121212122,11,False
3,4,Jerry Springer,TV Personality,Eliminated Week 7,22.0,3,7.0,0.1111111111111111,7,False
3,4,Joey Lawrence,Actor/Actress,3rd Place,27.0,3,3.0,0.13636363636363635,11,False
3,4,Mario Lopez,Actor/Actress,2nd Place,29.0,3,1.0,0.14646464646464646,11,False
3,4,Monique Coleman,Actor/Actress,Eliminated Week 8,24.0,3,4.0,0.12121212121212122,8,False
3,4,Sara Evans,Singer/Rapper,Withdrew,20.0,3,8.0,0.10101010101010101,10,False
3,4,Vivica A. Fox,Actor/Actress,Eliminated Week 4,24.0,3,4.0,0.12121212121212122,4,True
3,4,Willa Ford,Singer/Rapper,Eliminated Week 5,28.0,3,2.0,0.1414141414141414,5,False
3,5,Emmitt Smith,Athlete,1st Place,27.0,3,1.0,0.14917127071823205,11,False
3,5,Jerry Springer,TV Personality,Eliminated Week 7,24.0,3,6.0,0.13259668508287292,7,False
3,5,Joey Lawrence,Actor/Actress,3rd Place,25.0,3,5.0,0.13812154696132597,11,False
3,5,Mario Lopez,Actor/Actress,2nd Place,27.0,3,1.0,0.14917127071823205,11,False
3,5,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,1.0,0.14917127071823205,8,False
3,5,Sara Evans,Singer/Rapper,Withdrew,24.0,3,6.0,0.13259668508287292,10,False
3,5,Willa Ford,Singer/Rapper,Eliminated Week 5,27.0,3,1.0,0.14917127071823205,5,True
3,6,Emmitt Smith,Athlete,1st Place,25.0,3,2.0,0.211864406779661,11,False
3,6,Jerry Springer,TV Personality,Eliminated Week 7,18.0,3,5.0,0.15254237288135594,7,False
3,6,Joey Lawrence,Actor/Actress,3rd Place,24.0,3,3.0,0.2033898305084746,11,False
3,6,Mario Lopez,Actor/Actress,2nd Place,28.0,3,1.0,0.23728813559322035,11,False
3,6,Monique Coleman,Actor/Actress,Eliminated Week 8,23.0,3,4.0,0.19491525423728814,8,False
3,7,Emmitt Smith,Athlete,1st Place,28.5,3,1.0,0.2111111111111111,11,False
3,7,Jerry Springer,TV Personality,Eliminated Week 7,23.0,3,5.0,0.17037037037037037,7,True
3,7,Joey Lawrence,Actor/Actress,3rd Place,28.5,3,1.0,0.2111111111111111,11,False
3,7,Mario Lopez,Actor/Actress,2nd Place,28.0,3,3.0,0.2074074074074074,11,False
3,7,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,4.0,0.2,8,False
3,8,Emmitt Smith,Athlete,1st Place,27.0,3,2.0,0.24770642201834864,11,False
3,8,Joey Lawrence,Actor/Actress,3rd Place,27.0,3,2.0,0.24770642201834864,11,False
3,8,Mario Lopez,Actor/Actress,2nd Place,28.5,3,1.0,0.26146788990825687,11,False
3,8,Monique Coleman,Actor/Actress,Eliminated Week 8,26.5,3,4.0,0.24311926605504589,8,True
3,9,Emmitt Smith,Athlete,1st Place,29.5,3,1.0,0.3333333333333333,11,False
3,9,Joey Lawrence,Actor/Actress,3rd Place,29.5,3,1.0,0.3333333333333333,11,False
3,9,Mario Lopez,Actor/Actress,2nd Place,29.5,3,1.0,0.3333333333333333,11,False
3,10,Emmitt Smith,Athlete,1st Place,29.666600000000003,3,1.0,0.5,11,False
3,10,Mario Lopez,Actor/Actress,2nd Place,29.666600000000003,3,1.0,0.5,11,False
4,1,Apolo Anton Ohno,Athlete,1st Place,21.0,3,3.0,0.10194174757281553,11,False
4,1,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,13.0,3,11.0,0.06310679611650485,8,False
4,1,Clyde Drexler,Athlete,Eliminated Week 5,16.0,3,9.0,0.07766990291262135,5,False
4,1,Heather Mills,Model,Eliminated Week 6,18.0,3,7.0,0.08737864077669903,6,False
4,1,Ian Ziering,Actor/Actress,Eliminated Week 9,21.0,3,3.0,0.10194174757281553,9,False
4,1,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,1.0,0.11650485436893204,11,False
4,1,John Ratzenberger,Actor/Actress,Eliminated Week 7,17.0,3,8.0,0.0825242718446602,7,False
4,1,Laila Ali,Athlete,3rd Place,23.0,3,2.0,0.11165048543689321,11,False
4,1,Leeza Gibbons,TV Personality,Eliminated Week 4,15.0,3,10.0,0.07281553398058252,4,False
4,1,Paulina Porizkova,Model,Eliminated Week 2,19.0,3,5.0,0.09223300970873786,2,False
4,1,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,19.0,3,5.0,0.09223300970873786,3,False
4,2,Apolo Anton Ohno,Athlete,1st Place,26.0,3,2.0,0.10612244897959183,11,False
4,2,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.08571428571428572,8,False
4,2,Clyde Drexler,Athlete,Eliminated Week 5,18.0,3,11.0,0.07346938775510205,5,False
4,2,Heather Mills,Model,Eliminated Week 6,24.0,3,3.0,0.09795918367346938,6,False
4,2,Ian Ziering,Actor/Actress,Eliminated Week 9,22.0,3,5.0,0.08979591836734693,9,False
4,2,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,3.0,0.09795918367346938,11,False
4,2,John Ratzenberger,Actor/Actress,Eliminated Week 7,21.0,3,6.0,0.08571428571428572,7,False
4,2,Laila Ali,Athlete,3rd Place,27.0,3,1.0,0.11020408163265306,11,False
4,2,Leeza Gibbons,TV Personality,Eliminated Week 4,21.0,3,6.0,0.08571428571428572,4,False
4,2,Paulina Porizkova,Model,Eliminated Week 2,21.0,3,6.0,0.08571428571428572,2,True
4,2,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,20.0,3,10.0,0.08163265306122448,3,False
4,3,Apolo Anton Ohno,Athlete,1st Place,23.0,3,5.0,0.10550458715596331,11,False
4,3,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.0963302752293578,8,False
4,3,Clyde Drexler,Athlete,Eliminated Week 5,16.0,3,10.0,0.07339449541284404,5,False
4,3,Heather Mills,Model,Eliminated Week 6,24.0,3,1.0,0.11009174311926606,6,False
4,3,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,1.0,0.11009174311926606,9,False
4,3,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,1.0,0.11009174311926606,11,False
4,3,John Ratzenberger,Actor/Actress,Eliminated Week 7,20.0,3,9.0,0.09174311926605505,7,False
4,3,Laila Ali,Athlete,3rd Place,21.0,3,6.0,0.0963302752293578,11,False
4,3,Leeza Gibbons,TV Personality,Eliminated Week 4,24.0,3,1.0,0.11009174311926606,4,False
4,3,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,21.0,3,6.0,0.0963302752293578,3,True
4,4,Apolo Anton Ohno,Athlete,1st Place,26.0,3,2.0,0.1368421052631579,11,False
4,4,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,5.0,0.11052631578947368,8,False
4,4,Clyde Drexler,Athlete,Eliminated Week 5,15.0,3,9.0,0.07894736842105263,5,False
4,4,Heather Mills,Model,Eliminated Week 6,23.0,3,4.0,0.12105263157894737,6,False
4,4,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,3.0,0.12631578947368421,9,False
4,4,Joey Fatone,Singer/Rapper,2nd Place,28.0,3,1.0,0.14736842105263157,11,False
4,4,John Ratzenberger,Actor/Actress,Eliminated Week 7,16.0,3,7.0,0.08421052631578947,7,False
4,4,Laila Ali,Athlete,3rd Place,21.0,3,5.0,0.11052631578947368,11,False
4,4,Leeza Gibbons,TV Personality,Eliminated Week 4,16.0,3,7.0,0.08421052631578947,4,True
4,5,Apolo Anton Ohno,Athlete,1st Place,30.0,3,1.0,0.17045454545454544,11,False
4,5,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,17.0,3,7.0,0.09659090909090909,8,False
4,5,Clyde Drexler,Athlete,Eliminated Week 5,13.0,3,8.0,0.07386363636363637,5,True
4,5,Heather Mills,Model,Eliminated Week 6,21.0,3,5.0,0.11931818181818182,6,False
4,5,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,4.0,0.13636363636363635,9,False
4,5,Joey Fatone,Singer/Rapper,2nd Place,25.0,3,3.0,0.14204545454545456,11,False
4,5,John Ratzenberger,Actor/Actress,Eliminated Week 7,18.0,3,6.0,0.10227272727272728,7,False
4,5,Laila Ali,Athlete,3rd Place,28.0,3,2.0,0.1590909090909091,11,False
4,6,Apolo Anton Ohno,Athlete,1st Place,28.0,3,1.0,0.16470588235294117,11,False
4,6,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.12352941176470589,8,False
4,6,Heather Mills,Model,Eliminated Week 6,23.0,3,5.0,0.13529411764705881,6,True
4,6,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,4.0,0.1411764705882353,9,False
4,6,Joey Fatone,Singer/Rapper,2nd Place,27.0,3,3.0,0.1588235294117647,11,False
4,6,John Ratzenberger,Actor/Actress,Eliminated Week 7,19.0,3,7.0,0.11176470588235295,7,False
4,6,Laila Ali,Athlete,3rd Place,28.0,3,1.0,0.16470588235294117,11,False
4,7,Apolo Anton Ohno,Athlete,1st Place,27.0,3,3.0,0.17475728155339806,11,False
4,7,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,19.0,3,6.0,0.12297734627831715,8,False
4,7,Ian Ziering,Actor/Actress,Eliminated Week 9,27.0,3,3.0,0.17475728155339806,9,False
4,7,Joey Fatone,Singer/Rapper,2nd Place,29.5,3,1.0,0.19093851132686085,11,False
4,7,John Ratzenberger,Actor/Actress,Eliminated Week 7,22.5,3,5.0,0.14563106796116504,7,True
4,7,Laila Ali,Athlete,3rd Place,29.5,3,1.0,0.19093851132686085,11,False
4,8,Apolo Anton Ohno,Athlete,1st Place,29.0,3,1.0,0.23107569721115537,11,False
4,8,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,19.0,3,5.0,0.15139442231075698,8,True
4,8,Ian Ziering,Actor/Actress,Eliminated Week 9,23.5,3,4.0,0.18725099601593626,9,False
4,8,Joey Fatone,Singer/Rapper,2nd Place,27.5,3,2.0,0.21912350597609562,11,False
4,8,Laila Ali,Athlete,3rd Place,26.5,3,3.0,0.21115537848605578,11,False
4,9,Apolo Anton Ohno,Athlete,1st Place,29.5,3,3.0,0.2489451476793249,11,False
4,9,Ian Ziering,Actor/Actress,Eliminated Week 9,29.0,3,4.0,0.24472573839662448,9,True
4,9,Joey Fatone,Singer/Rapper,2nd Place,30.0,3,1.0,0.25316455696202533,11,False
4,9,Laila Ali,Athlete,3rd Place,30.0,3,1.0,0.25316455696202533,11,False
4,10,Apolo Anton Ohno,Athlete,1st Place,29.3332,3,1.0,0.3397685007685367,11,False
4,10,Joey Fatone,Singer/Rapper,2nd Place,28.6665,3,2.0,0.33204606818489824,11,False
4,10,Laila Ali,Athlete,3rd Place,28.3332,3,3.0,0.3281854310465651,11,False
5,1,Albert Reed,Model,Eliminated Week 2,21.0,3,5.0,0.08171206225680934,2,False
5,1,Cameron Mathison,Actor/Actress,Eliminated Week 8,21.0,3,5.0,0.08171206225680934,8,False
5,1,Floyd Mayweather Jr. ,Athlete,Eliminated Week 4,18.0,3,11.0,0.07003891050583658,4,False
5,1,Helio Castroneves,Racing Driver,1st Place,25.0,3,2.0,0.09727626459143969,11,False
5,1,Jane Seymour,Actor/Actress,Eliminated Week 7,24.0,3,3.0,0.0933852140077821,7,False
5,1,Jennie Garth,Actor/Actress,Eliminated Week 9,21.0,3,5.0,0.08171206225680934,9,False
5,1,Josie Maran,Model,Eliminated Week 1,16.0,3,12.0,0.0622568093385214,1,True
5,1,Marie Osmond,Singer/Rapper,3rd Place,21.0,3,5.0,0.08171206225680934,11,False
5,1,Mark Cuban,TV Personality,Eliminated Week 5,21.0,3,5.0,0.08171206225680934,5,False
5,1,Mel B,Singer/Rapper,2nd Place,24.0,3,3.0,0.0933852140077821,11,False
5,1,Sabrina Bryan,Actor/Actress,Eliminated Week 6,26.0,3,1.0,0.10116731517509728,6,False
5,1,Wayne Newton,Singer/Rapper,Eliminated Week 3,19.0,3,10.0,0.07392996108949416,3,False
5,2,Albert Reed,Model,Eliminated Week 2,21.0,3,5.0,0.08823529411764706,2,True
5,2,Cameron Mathison,Actor/Actress,Eliminated Week 8,21.0,3,5.0,0.08823529411764706,8,False
5,2,Floyd Mayweather Jr. ,Athlete,Eliminated Week 4,21.0,3,5.0,0.08823529411764706,4,False
5,2,Helio Castroneves,Racing Driver,1st Place,27.0,3,1.0,0.1134453781512605,11,False
5,2,Jane Seymour,Actor/Actress,Eliminated Week 7,21.0,3,5.0,0.08823529411764706,7,False
5,2,Jennie Garth,Actor/Actress,Eliminated Week 9,21.0,3,5.0,0.08823529411764706,9,False
5,2,Marie Osmond,Singer/Rapper,3rd Place,24.0,3,3.0,0.10084033613445378,11,False
5,2,Mark Cuban,TV Personality,Eliminated Week 5,18.0,3,10.0,0.07563025210084033,5,False
5,2,Mel B,Singer/Rapper,2nd Place,23.0,3,4.0,0.09663865546218488,11,False
5,2,Sabrina Bryan,Actor/Actress,Eliminated Week 6,26.0,3,2.0,0.1092436974789916,6,False
5,2,Wayne Newton,Singer/Rapper,Eliminated Week 3,15.0,3,11.0,0.06302521008403361,3,False
5,3,Cameron Mathison,Actor/Actress,Eliminated Week 8,23.0,3,7.0,0.09623430962343096,8,False
5,3,Floyd Mayweather Jr. ,Athlete,Eliminated Week 4,21.0,3,8.0,0.08786610878661087,4,False
5,3,Helio Castroneves,Racing Driver,1st Place,24.0,3,6.0,0.100418410041841,11,False
5,3,Jane Seymour,Actor/Actress,Eliminated Week 7,27.0,3,1.0,0.11297071129707113,7,False
5,3,Jennie Garth,Actor/Actress,Eliminated Week 9,26.0,3,4.0,0.1087866108786611,9,False
5,3,Marie Osmond,Singer/Rapper,3rd Place,26.0,3,4.0,0.1087866108786611,11,False
5,3,Mark Cuban,TV Personality,Eliminated Week 5,20.0,3,9.0,0.08368200836820083,5,False
5,3,Mel B,Singer/Rapper,2nd Place,27.0,3,1.0,0.11297071129707113,11,False
5,3,Sabrina Bryan,Actor/Actress,Eliminated Week 6,27.0,3,1.0,0.11297071129707113,6,False
5,3,Wayne Newton,Singer/Rapper,Eliminated Week 3,18.0,3,10.0,0.07531380753138076,3,True
5,4,Cameron Mathison,Actor/Actress,Eliminated Week 8,27.0,3,2.0,0.11538461538461539,8,False
5,4,Floyd Mayweather Jr. ,Athlete,Eliminated Week 4,23.0,3,8.0,0.09829059829059829,4,True
5,4,Helio Castroneves,Racing Driver,1st Place,27.0,3,2.0,0.11538461538461539,11,False
5,4,Jane Seymour,Actor/Actress,Eliminated Week 7,26.0,3,5.0,0.1111111111111111,7,False
5,4,Jennie Garth,Actor/Actress,Eliminated Week 9,27.0,3,2.0,0.11538461538461539,9,False
5,4,Marie Osmond,Singer/Rapper,3rd Place,26.0,3,5.0,0.1111111111111111,11,False
5,4,Mark Cuban,TV Personality,Eliminated Week 5,22.0,3,9.0,0.09401709401709402,5,False
5,4,Mel B,Singer/Rapper,2nd Place,26.0,3,5.0,0.1111111111111111,11,False
5,4,Sabrina Bryan,Actor/Actress,Eliminated Week 6,30.0,3,1.0,0.1282051282051282,6,False
5,5,Cameron Mathison,Actor/Actress,Eliminated Week 8,26.0,3,3.0,0.1306532663316583,8,False
5,5,Helio Castroneves,Racing Driver,1st Place,23.0,3,6.0,0.11557788944723618,11,False
5,5,Jane Seymour,Actor/Actress,Eliminated Week 7,26.0,3,3.0,0.1306532663316583,7,False
5,5,Jennie Garth,Actor/Actress,Eliminated Week 9,25.0,3,5.0,0.12562814070351758,9,False
5,5,Marie Osmond,Singer/Rapper,3rd Place,21.0,3,7.0,0.10552763819095477,11,False
5,5,Mark Cuban,TV Personality,Eliminated Week 5,21.0,3,7.0,0.10552763819095477,5,True
5,5,Mel B,Singer/Rapper,2nd Place,29.0,3,1.0,0.1457286432160804,11,False
5,5,Sabrina Bryan,Actor/Actress,Eliminated Week 6,28.0,3,2.0,0.1407035175879397,6,False
5,6,Cameron Mathison,Actor/Actress,Eliminated Week 8,25.0,3,4.0,0.1388888888888889,8,False
5,6,Helio Castroneves,Racing Driver,1st Place,28.0,3,2.0,0.15555555555555556,11,False
5,6,Jane Seymour,Actor/Actress,Eliminated Week 7,22.0,3,7.0,0.12222222222222222,7,False
5,6,Jennie Garth,Actor/Actress,Eliminated Week 9,27.0,3,3.0,0.15,9,False
5,6,Marie Osmond,Singer/Rapper,3rd Place,23.0,3,6.0,0.12777777777777777,11,False
5,6,Mel B,Singer/Rapper,2nd Place,30.0,3,1.0,0.16666666666666666,11,False
5,6,Sabrina Bryan,Actor/Actress,Eliminated Week 6,25.0,3,4.0,0.1388888888888889,6,True
5,7,Cameron Mathison,Actor/Actress,Eliminated Week 8,25.5,3,5.0,0.16346153846153846,8,False
