season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,f_placement,rule_type,predicted_fan_vote
1,3,John O'Hurley,Actor/Actress,2nd Place,24.0,3,2.0,0.2264150943396226,7,False,2.0,Rank_Standard,2.0
1,3,Kelly Monaco,Actor/Actress,1st Place,21.0,3,4.0,0.1981132075471698,7,False,1.0,Rank_Standard,4.0
1,3,Rachel Hunter,Model,Eliminated Week 4,26.0,3,1.0,0.2452830188679245,4,False,,Rank_Standard,1.0
1,4,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,4.0,0.217391304347826,7,False,3.0,Rank_Standard,2.0
1,4,John O'Hurley,Actor/Actress,2nd Place,21.0,3,3.0,0.2282608695652173,7,False,2.0,Rank_Standard,3.0
1,4,Kelly Monaco,Actor/Actress,1st Place,26.0,3,1.0,0.2826086956521739,7,False,1.0,Rank_Standard,1.0
1,4,Rachel Hunter,Model,Eliminated Week 4,25.0,3,2.0,0.2717391304347826,4,True,,Rank_Standard,4.0
1,5,Joey McIntyre,Singer/Rapper,3rd Place,22.5,3,3.0,0.3082191780821918,7,False,3,Rank_Standard,3.0
1,5,John O'Hurley,Actor/Actress,2nd Place,27.0,3,1.0,0.3698630136986301,7,False,2,Rank_Standard,1.0
1,5,Kelly Monaco,Actor/Actress,1st Place,23.5,3,2.0,0.3219178082191781,7,False,1,Rank_Standard,2.0
1,6,John O'Hurley,Actor/Actress,2nd Place,27.0,3,2.0,0.4954128440366973,7,False,2,Rank_Standard,2.0
1,6,Kelly Monaco,Actor/Actress,1st Place,27.5,3,1.0,0.5045871559633027,7,False,1,Rank_Standard,1.0
2,1,Drew Lachey,Singer/Rapper,1st Place,24.0,3,1.0,0.123076923076923,9,False,1.0,Rank_Standard,1.0
2,1,George Hamilton,Actor/Actress,Eliminated Week 6,18.0,3,8.0,0.0923076923076923,6,False,,Rank_Standard,8.0
2,1,Giselle Fernandez,News Anchor,Eliminated Week 3,23.0,3,2.0,0.1179487179487179,3,False,,Rank_Standard,3.0
2,1,Jerry Rice,Athlete,2nd Place,21.0,3,5.0,0.1076923076923077,9,False,2.0,Rank_Standard,5.0
2,1,Kenny Mayne,Sports Broadcaster,Eliminated Week 1,13.0,3,9.0,0.0666666666666666,1,True,,Rank_Standard,10.0
2,1,Lisa Rinna,Actor/Actress,Eliminated Week 7,19.0,3,7.0,0.0974358974358974,7,False,,Rank_Standard,7.0
2,1,Master P,Singer/Rapper,Eliminated Week 4,12.0,3,10.0,0.0615384615384615,4,False,,Rank_Standard,9.0
2,1,Stacy Keibler,Athlete,3rd Place,22.0,3,4.0,0.1128205128205128,9,False,3.0,Rank_Standard,4.0
2,1,Tatum O'Neal,Actor/Actress,Eliminated Week 2,23.0,3,2.0,0.1179487179487179,2,False,,Rank_Standard,2.0
2,1,Tia Carrere,Actor/Actress,Eliminated Week 5,20.0,3,6.0,0.1025641025641025,5,False,,Rank_Standard,6.0
2,2,Drew Lachey,Singer/Rapper,1st Place,27.0,3,2.0,0.135,9,False,1.0,Rank_Standard,2.0
2,2,George Hamilton,Actor/Actress,Eliminated Week 6,22.0,3,5.0,0.11,6,False,,Rank_Standard,5.0
2,2,Giselle Fernandez,News Anchor,Eliminated Week 3,24.0,3,3.0,0.12,3,False,,Rank_Standard,3.0
2,2,Jerry Rice,Athlete,2nd Place,23.0,3,4.0,0.115,9,False,2.0,Rank_Standard,4.0
2,2,Lisa Rinna,Actor/Actress,Eliminated Week 7,20.0,3,7.0,0.1,7,False,,Rank_Standard,7.0
2,2,Master P,Singer/Rapper,Eliminated Week 4,16.0,3,9.0,0.08,4,False,,Rank_Standard,8.0
2,2,Stacy Keibler,Athlete,3rd Place,29.0,3,1.0,0.145,9,False,3.0,Rank_Standard,1.0
2,2,Tatum O'Neal,Actor/Actress,Eliminated Week 2,17.0,3,8.0,0.085,2,True,,Rank_Standard,9.0
2,2,Tia Carrere,Actor/Actress,Eliminated Week 5,22.0,3,5.0,0.11,5,False,,Rank_Standard,6.0
2,3,Drew Lachey,Singer/Rapper,1st Place,27.0,3,1.0,0.1483516483516483,9,False,1.0,Rank_Standard,1.0
2,3,George Hamilton,Actor/Actress,Eliminated Week 6,22.0,3,5.0,0.1208791208791208,6,False,,Rank_Standard,7.0
2,3,Giselle Fernandez,News Anchor,Eliminated Week 3,22.0,3,5.0,0.1208791208791208,3,True,,Rank_Standard,8.0
2,3,Jerry Rice,Athlete,2nd Place,19.0,3,7.0,0.1043956043956044,9,False,2.0,Rank_Standard,6.0
2,3,Lisa Rinna,Actor/Actress,Eliminated Week 7,25.0,3,4.0,0.1373626373626373,7,False,,Rank_Standard,4.0
2,3,Master P,Singer/Rapper,Eliminated Week 4,14.0,3,8.0,0.0769230769230769,4,False,,Rank_Standard,5.0
2,3,Stacy Keibler,Athlete,3rd Place,27.0,3,1.0,0.1483516483516483,9,False,3.0,Rank_Standard,2.0
2,3,Tia Carrere,Actor/Actress,Eliminated Week 5,26.0,3,3.0,0.1428571428571428,5,False,,Rank_Standard,3.0
2,4,Drew Lachey,Singer/Rapper,1st Place,28.0,3,1.0,0.1772151898734177,9,False,1.0,Rank_Standard,1.0
2,4,George Hamilton,Actor/Actress,Eliminated Week 6,21.0,3,6.0,0.1329113924050632,6,False,,Rank_Standard,6.0
2,4,Jerry Rice,Athlete,2nd Place,24.0,3,5.0,0.1518987341772152,9,False,2.0,Rank_Standard,5.0
2,4,Lisa Rinna,Actor/Actress,Eliminated Week 7,26.0,3,2.0,0.1645569620253164,7,False,,Rank_Standard,3.0
2,4,Master P,Singer/Rapper,Eliminated Week 4,8.0,3,7.0,0.050632911392405,4,True,,Rank_Standard,7.0
2,4,Stacy Keibler,Athlete,3rd Place,26.0,3,2.0,0.1645569620253164,9,False,3.0,Rank_Standard,2.0
2,4,Tia Carrere,Actor/Actress,Eliminated Week 5,25.0,3,4.0,0.1582278481012658,5,False,,Rank_Standard,4.0
2,5,Drew Lachey,Singer/Rapper,1st Place,27.0,3,2.0,0.1788079470198675,9,False,1.0,Rank_Standard,2.0
2,5,George Hamilton,Actor/Actress,Eliminated Week 6,24.0,3,4.0,0.1589403973509933,6,False,,Rank_Standard,4.0
2,5,Jerry Rice,Athlete,2nd Place,23.0,3,5.0,0.152317880794702,9,False,2.0,Rank_Standard,5.0
2,5,Lisa Rinna,Actor/Actress,Eliminated Week 7,25.0,3,3.0,0.1655629139072847,7,False,,Rank_Standard,3.0
2,5,Stacy Keibler,Athlete,3rd Place,30.0,3,1.0,0.1986754966887417,9,False,3.0,Rank_Standard,1.0
2,5,Tia Carrere,Actor/Actress,Eliminated Week 5,22.0,3,6.0,0.1456953642384106,5,True,,Rank_Standard,6.0
2,6,Drew Lachey,Singer/Rapper,1st Place,30.0,3,1.0,0.225563909774436,9,False,1.0,Rank_Standard,1.0
2,6,George Hamilton,Actor/Actress,Eliminated Week 6,23.0,3,4.0,0.1729323308270676,6,True,,Rank_Standard,5.0
2,6,Jerry Rice,Athlete,2nd Place,23.0,3,4.0,0.1729323308270676,9,False,2.0,Rank_Standard,4.0
2,6,Lisa Rinna,Actor/Actress,Eliminated Week 7,27.0,3,3.0,0.2030075187969924,7,False,,Rank_Standard,3.0
2,6,Stacy Keibler,Athlete,3rd Place,30.0,3,1.0,0.225563909774436,9,False,3.0,Rank_Standard,2.0
2,7,Drew Lachey,Singer/Rapper,1st Place,27.5,3,1.0,0.2696078431372549,9,False,1.0,Rank_Standard,1.0
2,7,Jerry Rice,Athlete,2nd Place,20.5,3,4.0,0.2009803921568627,9,False,2.0,Rank_Standard,3.0
2,7,Lisa Rinna,Actor/Actress,Eliminated Week 7,26.5,3,3.0,0.2598039215686274,7,True,,Rank_Standard,4.0
2,7,Stacy Keibler,Athlete,3rd Place,27.5,3,1.0,0.2696078431372549,9,False,3.0,Rank_Standard,2.0
2,8,Drew Lachey,Singer/Rapper,1st Place,28.9998,3,1.0,0.3438729131809768,9,False,1,Rank_Standard,1.0
2,8,Jerry Rice,Athlete,2nd Place,26.666600000000003,3,3.0,0.3162063678588072,9,False,2,Rank_Standard,2.0
2,8,Stacy Keibler,Athlete,3rd Place,28.6665,3,2.0,0.339920718960216,9,False,3,Rank_Standard,3.0
3,1,Emmitt Smith,Athlete,1st Place,24.0,3,2.0,0.1132075471698113,11,False,1,Percentage,12.028301859970366
3,1,Harry Hamlin,Actor/Actress,Eliminated Week 3,17.0,3,8.0,0.080188679245283,3,False,,Percentage,8.726415067517536
3,1,Jerry Springer,TV Personality,Eliminated Week 7,16.0,3,9.0,0.0754716981132075,7,False,,Percentage,8.25471701391463
3,1,Joey Lawrence,Actor/Actress,3rd Place,21.0,3,5.0,0.0990566037735849,11,False,3,Percentage,10.61320757995237
3,1,Mario Lopez,Actor/Actress,2nd Place,26.0,3,1.0,0.1226415094339622,11,False,2,Percentage,12.971698086385453
3,1,Monique Coleman,Actor/Actress,Eliminated Week 8,19.0,3,6.0,0.0896226415094339,8,False,,Percentage,9.669811293932627
3,1,Sara Evans,Singer/Rapper,Withdrew,15.0,3,10.0,0.070754716981132,10,False,Withdrew,Percentage,
3,1,Shanna Moakler,Model,Eliminated Week 2,18.0,3,7.0,0.0849056603773584,2,False,,Percentage,9.19811324032972
3,1,Tucker Carlson,TV Personality,Eliminated Week 1,12.0,3,11.0,0.0566037735849056,1,True,,Percentage,6.367924561084441
3,1,Vivica A. Fox,Actor/Actress,Eliminated Week 4,22.0,3,3.0,0.1037735849056603,4,False,,Percentage,11.084905633555264
3,1,Willa Ford,Singer/Rapper,Eliminated Week 5,22.0,3,3.0,0.1037735849056603,5,False,,Percentage,11.084905663357587
3,2,Emmitt Smith,Athlete,1st Place,24.0,3,3.0,0.1043478260869565,11,False,1,Percentage,11.449275402055271
3,2,Harry Hamlin,Actor/Actress,Eliminated Week 3,21.0,3,7.0,0.0913043478260869,3,False,,Percentage,10.14492757596831
3,2,Jerry Springer,TV Personality,Eliminated Week 7,19.0,3,10.0,0.0826086956521739,7,False,,Percentage,10.579710125059309
3,2,Joey Lawrence,Actor/Actress,3rd Place,29.0,3,1.0,0.1260869565217391,11,False,3,Percentage,13.623188445533529
3,2,Mario Lopez,Actor/Actress,2nd Place,21.0,3,7.0,0.0913043478260869,11,False,2,Percentage,10.144927516363666
3,2,Monique Coleman,Actor/Actress,Eliminated Week 8,26.0,3,2.0,0.1130434782608695,8,False,,Percentage,12.318840559841927
3,2,Sara Evans,Singer/Rapper,Withdrew,21.0,3,7.0,0.0913043478260869,10,False,Withdrew,Percentage,
3,2,Shanna Moakler,Model,Eliminated Week 2,22.0,3,6.0,0.0956521739130434,2,True,,Percentage,9.275362298972373
3,2,Vivica A. Fox,Actor/Actress,Eliminated Week 4,24.0,3,3.0,0.1043478260869565,4,False,,Percentage,11.449275342450628
3,2,Willa Ford,Singer/Rapper,Eliminated Week 5,23.0,3,5.0,0.1,5,False,,Percentage,11.014492733754977
3,3,Emmitt Smith,Athlete,1st Place,19.0,3,9.0,0.0917874396135265,11,False,1,Percentage,12.137681219024936
3,3,Harry Hamlin,Actor/Actress,Eliminated Week 3,22.0,3,4.0,0.1062801932367149,3,True,,Percentage,10.688405856706085
3,3,Jerry Springer,TV Personality,Eliminated Week 7,21.0,3,8.0,0.1014492753623188,7,False,,Percentage,11.654589431585322
3,3,Joey Lawrence,Actor/Actress,3rd Place,22.0,3,4.0,0.1062801932367149,11,False,3,Percentage,12.137681219024934
3,3,Mario Lopez,Actor/Actress,2nd Place,22.0,3,4.0,0.1062801932367149,11,False,2,Percentage,12.137681099815646
3,3,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,1.0,0.1304347826086956,8,False,,Percentage,14.553140037013714
3,3,Sara Evans,Singer/Rapper,Withdrew,25.0,3,3.0,0.1207729468599033,10,False,Withdrew,Percentage,
3,3,Vivica A. Fox,Actor/Actress,Eliminated Week 4,27.0,3,1.0,0.1304347826086956,4,False,,Percentage,14.553140037013712
3,3,Willa Ford,Singer/Rapper,Eliminated Week 5,22.0,3,4.0,0.1062801932367149,5,False,,Percentage,12.137681099815646
3,4,Emmitt Smith,Athlete,1st Place,24.0,3,4.0,0.1212121212121212,11,False,1,Percentage,13.564213581243466
3,4,Jerry Springer,TV Personality,Eliminated Week 7,22.0,3,7.0,0.1111111111111111,7,False,,Percentage,13.564213581243466
3,4,Joey Lawrence,Actor/Actress,3rd Place,27.0,3,3.0,0.1363636363636363,11,False,3,Percentage,15.079365096394973
3,4,Mario Lopez,Actor/Actress,2nd Place,29.0,3,1.0,0.1464646464646464,11,False,2,Percentage,16.089465987286694
3,4,Monique Coleman,Actor/Actress,Eliminated Week 8,24.0,3,4.0,0.1212121212121212,8,False,,Percentage,13.564213581243463
3,4,Sara Evans,Singer/Rapper,Withdrew,20.0,3,8.0,0.101010101010101,10,False,Withdrew,Percentage,
3,4,Vivica A. Fox,Actor/Actress,Eliminated Week 4,24.0,3,4.0,0.1212121212121212,4,True,,Percentage,12.554112571142449
3,4,Willa Ford,Singer/Rapper,Eliminated Week 5,28.0,3,2.0,0.1414141414141414,5,False,,Percentage,15.584415601445484
3,5,Emmitt Smith,Athlete,1st Place,27.0,3,1.0,0.149171270718232,11,False,1,Percentage,17.127071703995128
3,5,Jerry Springer,TV Personality,Eliminated Week 7,24.0,3,6.0,0.1325966850828729,7,False,,Percentage,16.94290972085288
3,5,Joey Lawrence,Actor/Actress,3rd Place,25.0,3,5.0,0.1381215469613259,11,False,3,Percentage,16.390423533007585
3,5,Mario Lopez,Actor/Actress,2nd Place,27.0,3,1.0,0.149171270718232,11,False,2,Percentage,17.127071942413707
3,5,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,1.0,0.149171270718232,8,False,,Percentage,17.127071942413707
3,5,Sara Evans,Singer/Rapper,Withdrew,24.0,3,6.0,0.1325966850828729,10,False,Withdrew,Percentage,
3,5,Willa Ford,Singer/Rapper,Eliminated Week 5,27.0,3,1.0,0.149171270718232,5,True,,Percentage,15.285451157316981
3,6,Emmitt Smith,Athlete,1st Place,25.0,3,2.0,0.211864406779661,11,False,1.0,Percentage,21.1864406779661
3,6,Jerry Springer,TV Personality,Eliminated Week 7,18.0,3,5.0,0.1525423728813559,7,False,,Percentage,15.254237288135588
3,6,Joey Lawrence,Actor/Actress,3rd Place,24.0,3,3.0,0.2033898305084746,11,False,3.0,Percentage,20.33898305084746
3,6,Mario Lopez,Actor/Actress,2nd Place,28.0,3,1.0,0.2372881355932203,11,False,2.0,Percentage,23.728813559322028
3,6,Monique Coleman,Actor/Actress,Eliminated Week 8,23.0,3,4.0,0.1949152542372881,8,False,,Percentage,19.49152542372881
3,7,Emmitt Smith,Athlete,1st Place,28.5,3,1.0,0.2111111111111111,11,False,1.0,Percentage,21.11111111111111
3,7,Jerry Springer,TV Personality,Eliminated Week 7,23.0,3,5.0,0.1703703703703703,7,True,,Percentage,17.03703703703703
3,7,Joey Lawrence,Actor/Actress,3rd Place,28.5,3,1.0,0.2111111111111111,11,False,3.0,Percentage,21.11111111111111
3,7,Mario Lopez,Actor/Actress,2nd Place,28.0,3,3.0,0.2074074074074074,11,False,2.0,Percentage,20.74074074074074
3,7,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,4.0,0.2,8,False,,Percentage,20.0
3,8,Emmitt Smith,Athlete,1st Place,27.0,3,2.0,0.2477064220183486,11,False,1.0,Percentage,24.77064220183486
3,8,Joey Lawrence,Actor/Actress,3rd Place,27.0,3,2.0,0.2477064220183486,11,False,3.0,Percentage,24.77064220183486
3,8,Mario Lopez,Actor/Actress,2nd Place,28.5,3,1.0,0.2614678899082568,11,False,2.0,Percentage,26.14678899082568
3,8,Monique Coleman,Actor/Actress,Eliminated Week 8,26.5,3,4.0,0.2431192660550458,8,True,,Percentage,24.31192660550458
3,9,Emmitt Smith,Athlete,1st Place,29.5,3,1.0,0.3333333333333333,11,False,1,Percentage,33.33333333333333
3,9,Joey Lawrence,Actor/Actress,3rd Place,29.5,3,1.0,0.3333333333333333,11,False,3,Percentage,33.33333333333333
3,9,Mario Lopez,Actor/Actress,2nd Place,29.5,3,1.0,0.3333333333333333,11,False,2,Percentage,33.33333333333333
3,10,Emmitt Smith,Athlete,1st Place,29.666600000000003,3,1.0,0.5,11,False,1,Percentage,50.0
3,10,Mario Lopez,Actor/Actress,2nd Place,29.666600000000003,3,1.0,0.5,11,False,2,Percentage,50.0
4,1,Apolo Anton Ohno,Athlete,1st Place,21.0,3,3.0,0.1019417475728155,11,False,1.0,Percentage,10.19417475728155
4,1,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,13.0,3,11.0,0.0631067961165048,8,False,,Percentage,6.31067961165048
4,1,Clyde Drexler,Athlete,Eliminated Week 5,16.0,3,9.0,0.0776699029126213,5,False,,Percentage,7.76699029126213
4,1,Heather Mills,Model,Eliminated Week 6,18.0,3,7.0,0.087378640776699,6,False,,Percentage,8.7378640776699
4,1,Ian Ziering,Actor/Actress,Eliminated Week 9,21.0,3,3.0,0.1019417475728155,9,False,,Percentage,10.19417475728155
4,1,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,1.0,0.116504854368932,11,False,2.0,Percentage,11.6504854368932
4,1,John Ratzenberger,Actor/Actress,Eliminated Week 7,17.0,3,8.0,0.0825242718446602,7,False,,Percentage,8.25242718446602
4,1,Laila Ali,Athlete,3rd Place,23.0,3,2.0,0.1116504854368932,11,False,3.0,Percentage,11.16504854368932
4,1,Leeza Gibbons,TV Personality,Eliminated Week 4,15.0,3,10.0,0.0728155339805825,4,False,,Percentage,7.281553398058251
4,1,Paulina Porizkova,Model,Eliminated Week 2,19.0,3,5.0,0.0922330097087378,2,False,,Percentage,9.22330097087378
4,1,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,19.0,3,5.0,0.0922330097087378,3,False,,Percentage,9.22330097087378
4,2,Apolo Anton Ohno,Athlete,1st Place,26.0,3,2.0,0.1061224489795918,11,False,1.0,Percentage,10.612244896604533
4,2,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.0857142857142857,8,False,,Percentage,8.571428570073923
4,2,Clyde Drexler,Athlete,Eliminated Week 5,18.0,3,11.0,0.073469387755102,5,False,,Percentage,8.571428577524504
4,2,Heather Mills,Model,Eliminated Week 6,24.0,3,3.0,0.0979591836734693,6,False,,Percentage,9.795918365992284
4,2,Ian Ziering,Actor/Actress,Eliminated Week 9,22.0,3,5.0,0.0897959183673469,9,False,,Percentage,8.979591835380045
4,2,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,3.0,0.0979591836734693,11,False,2.0,Percentage,9.795918365992284
4,2,John Ratzenberger,Actor/Actress,Eliminated Week 7,21.0,3,6.0,0.0857142857142857,7,False,,Percentage,8.571428570073923
4,2,Laila Ali,Athlete,3rd Place,27.0,3,1.0,0.110204081632653,11,False,3.0,Percentage,11.020408161910654
4,2,Leeza Gibbons,TV Personality,Eliminated Week 4,21.0,3,6.0,0.0857142857142857,4,False,,Percentage,8.571428570073923
4,2,Paulina Porizkova,Model,Eliminated Week 2,21.0,3,6.0,0.0857142857142857,2,True,,Percentage,7.346938781606136
4,2,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,20.0,3,10.0,0.0816326530612244,3,False,,Percentage,8.163265304767794
4,3,Apolo Anton Ohno,Athlete,1st Place,23.0,3,5.0,0.1055045871559633,11,False,1.0,Percentage,10.550458709635867
4,3,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.0963302752293578,8,False,,Percentage,9.633027516975318
4,3,Clyde Drexler,Athlete,Eliminated Week 5,16.0,3,10.0,0.073394495412844,5,False,,Percentage,9.633027546777642
4,3,Heather Mills,Model,Eliminated Week 6,24.0,3,1.0,0.110091743119266,6,False,,Percentage,11.00917430596614
4,3,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,1.0,0.110091743119266,9,False,,Percentage,11.00917430596614
4,3,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,1.0,0.110091743119266,11,False,2.0,Percentage,11.00917430596614
4,3,John Ratzenberger,Actor/Actress,Eliminated Week 7,20.0,3,9.0,0.091743119266055,7,False,,Percentage,9.174311920645039
4,3,Laila Ali,Athlete,3rd Place,21.0,3,6.0,0.0963302752293578,11,False,3.0,Percentage,9.63302751697532
4,3,Leeza Gibbons,TV Personality,Eliminated Week 4,24.0,3,1.0,0.110091743119266,4,False,,Percentage,11.00917430596614
4,3,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,21.0,3,6.0,0.0963302752293578,3,True,,Percentage,7.339449565126263
4,4,Apolo Anton Ohno,Athlete,1st Place,26.0,3,2.0,0.1368421052631579,11,False,1.0,Percentage,13.684210526315796
4,4,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,5.0,0.1105263157894736,8,False,,Percentage,11.052631578947365
4,4,Clyde Drexler,Athlete,Eliminated Week 5,15.0,3,9.0,0.0789473684210526,5,False,,Percentage,8.421052631578945
4,4,Heather Mills,Model,Eliminated Week 6,23.0,3,4.0,0.1210526315789473,6,False,,Percentage,12.105263157894735
4,4,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,3.0,0.1263157894736842,9,False,,Percentage,12.631578947368425
4,4,Joey Fatone,Singer/Rapper,2nd Place,28.0,3,1.0,0.1473684210526315,11,False,2.0,Percentage,14.736842105263156
4,4,John Ratzenberger,Actor/Actress,Eliminated Week 7,16.0,3,7.0,0.0842105263157894,7,False,,Percentage,8.421052631578945
4,4,Laila Ali,Athlete,3rd Place,21.0,3,5.0,0.1105263157894736,11,False,3.0,Percentage,11.052631578947365
4,4,Leeza Gibbons,TV Personality,Eliminated Week 4,16.0,3,7.0,0.0842105263157894,4,True,,Percentage,7.894736842105267
4,5,Apolo Anton Ohno,Athlete,1st Place,30.0,3,1.0,0.1704545454545454,11,False,1.0,Percentage,17.04545454545454
4,5,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,17.0,3,7.0,0.096590909090909,8,False,,Percentage,9.659090909090901
4,5,Clyde Drexler,Athlete,Eliminated Week 5,13.0,3,8.0,0.0738636363636363,5,True,,Percentage,7.38636363636363
4,5,Heather Mills,Model,Eliminated Week 6,21.0,3,5.0,0.1193181818181818,6,False,,Percentage,11.93181818181818
4,5,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,4.0,0.1363636363636363,9,False,,Percentage,13.63636363636363
4,5,Joey Fatone,Singer/Rapper,2nd Place,25.0,3,3.0,0.1420454545454545,11,False,2.0,Percentage,14.20454545454545
4,5,John Ratzenberger,Actor/Actress,Eliminated Week 7,18.0,3,6.0,0.1022727272727272,7,False,,Percentage,10.22727272727272
4,5,Laila Ali,Athlete,3rd Place,28.0,3,2.0,0.1590909090909091,11,False,3.0,Percentage,15.909090909090908
4,6,Apolo Anton Ohno,Athlete,1st Place,28.0,3,1.0,0.1647058823529411,11,False,1.0,Percentage,16.470588235294112
4,6,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.1235294117647058,8,False,,Percentage,12.352941176470594
4,6,Heather Mills,Model,Eliminated Week 6,23.0,3,5.0,0.1352941176470588,6,True,,Percentage,11.176470588235295
4,6,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,4.0,0.1411764705882353,9,False,,Percentage,14.117647058823533
4,6,Joey Fatone,Singer/Rapper,2nd Place,27.0,3,3.0,0.1588235294117647,11,False,2.0,Percentage,15.882352941176473
4,6,John Ratzenberger,Actor/Actress,Eliminated Week 7,19.0,3,7.0,0.1117647058823529,7,False,,Percentage,13.529411764705873
4,6,Laila Ali,Athlete,3rd Place,28.0,3,1.0,0.1647058823529411,11,False,3.0,Percentage,16.470588235294116
4,7,Apolo Anton Ohno,Athlete,1st Place,27.0,3,3.0,0.174757281553398,11,False,1.0,Percentage,17.475728155339805
4,7,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,19.0,3,6.0,0.1229773462783171,8,False,,Percentage,14.563106796116518
4,7,Ian Ziering,Actor/Actress,Eliminated Week 9,27.0,3,3.0,0.174757281553398,9,False,,Percentage,17.47572815533981
4,7,Joey Fatone,Singer/Rapper,2nd Place,29.5,3,1.0,0.1909385113268608,11,False,2.0,Percentage,19.093851132686087
4,7,John Ratzenberger,Actor/Actress,Eliminated Week 7,22.5,3,5.0,0.145631067961165,7,True,,Percentage,12.297734627831703
4,7,Laila Ali,Athlete,3rd Place,29.5,3,1.0,0.1909385113268608,11,False,3.0,Percentage,19.093851132686087
4,8,Apolo Anton Ohno,Athlete,1st Place,29.0,3,1.0,0.2310756972111553,11,False,1.0,Percentage,23.10756972111553
4,8,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,19.0,3,5.0,0.1513944223107569,8,True,,Percentage,15.139442231075689
4,8,Ian Ziering,Actor/Actress,Eliminated Week 9,23.5,3,4.0,0.1872509960159362,9,False,,Percentage,18.72509960159362
4,8,Joey Fatone,Singer/Rapper,2nd Place,27.5,3,2.0,0.2191235059760956,11,False,2.0,Percentage,21.91235059760956
4,8,Laila Ali,Athlete,3rd Place,26.5,3,3.0,0.2111553784860557,11,False,3.0,Percentage,21.11553784860557
4,9,Apolo Anton Ohno,Athlete,1st Place,29.5,3,3.0,0.2489451476793249,11,False,1.0,Percentage,24.894514767932492
4,9,Ian Ziering,Actor/Actress,Eliminated Week 9,29.0,3,4.0,0.2447257383966244,9,True,,Percentage,24.47257383966244
4,9,Joey Fatone,Singer/Rapper,2nd Place,30.0,3,1.0,0.2531645569620253,11,False,2.0,Percentage,25.316455696202528
4,9,Laila Ali,Athlete,3rd Place,30.0,3,1.0,0.2531645569620253,11,False,3.0,Percentage,25.316455696202528
