season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,f_placement,rule_type,predicted_fan_vote,harmonized_fan_percent
2,2,Master P,Singer/Rapper,Eliminated Week 4,16.0,3,9.0,0.08,4,False,,Rank_Standard,8.0,0.10380214422875789
2,2,Stacy Keibler,Athlete,3rd Place,29.0,3,1.0,0.145,9,False,3.0,Rank_Standard,1.0,0.1277954299604585
2,2,Tatum O'Neal,Actor/Actress,Eliminated Week 2,17.0,3,8.0,0.085,2,True,,Rank_Standard,9.0,0.10258670303227864
2,2,Tia Carrere,Actor/Actress,Eliminated Week 5,22.0,3,5.0,0.11,5,False,,Rank_Standard,6.0,0.10683171454077979
2,3,Drew Lachey,Singer/Rapper,1st Place,27.0,3,1.0,0.1483516483516483,9,False,1.0,Rank_Standard,1.0,0.14240420817506022
2,3,George Hamilton,Actor/Actress,Eliminated Week 6,22.0,3,5.0,0.1208791208791208,6,False,,Rank_Standard,7.0,0.11722305061735085
2,3,Giselle Fernandez,News Anchor,Eliminated Week 3,22.0,3,5.0,0.1208791208791208,3,True,,Rank_Standard,8.0,0.11566815934140488
2,3,Jerry Rice,Athlete,2nd Place,19.0,3,7.0,0.1043956043956044,9,False,2.0,Rank_Standard,6.0,0.11904405127688049
2,3,Lisa Rinna,Actor/Actress,Eliminated Week 7,25.0,3,4.0,0.1373626373626373,7,False,,Rank_Standard,4.0,0.1239700636425372
2,3,Master P,Singer/Rapper,Eliminated Week 4,14.0,3,8.0,0.0769230769230769,4,False,,Rank_Standard,5.0,0.12123438755438945
2,3,Stacy Keibler,Athlete,3rd Place,27.0,3,1.0,0.1483516483516483,9,False,3.0,Rank_Standard,2.0,0.13286782436100672
2,3,Tia Carrere,Actor/Actress,Eliminated Week 5,26.0,3,3.0,0.1428571428571428,5,False,,Rank_Standard,3.0,0.12758825503137025
2,4,Drew Lachey,Singer/Rapper,1st Place,28.0,3,1.0,0.1772151898734177,9,False,1.0,Rank_Standard,1.0,0.16103028481820406
2,4,George Hamilton,Actor/Actress,Eliminated Week 6,21.0,3,6.0,0.1329113924050632,6,False,,Rank_Standard,6.0,0.13461468399489487
2,4,Jerry Rice,Athlete,2nd Place,24.0,3,5.0,0.1518987341772152,9,False,2.0,Rank_Standard,5.0,0.13709151020062973
2,4,Lisa Rinna,Actor/Actress,Eliminated Week 7,26.0,3,2.0,0.1645569620253164,7,False,,Rank_Standard,3.0,0.1442764459734374
2,4,Master P,Singer/Rapper,Eliminated Week 4,8.0,3,7.0,0.050632911392405,4,True,,Rank_Standard,7.0,0.1325555014846581
2,4,Stacy Keibler,Athlete,3rd Place,26.0,3,2.0,0.1645569620253164,9,False,3.0,Rank_Standard,2.0,0.15024656837195308
2,4,Tia Carrere,Actor/Actress,Eliminated Week 5,25.0,3,4.0,0.1582278481012658,5,False,,Rank_Standard,4.0,0.14018500515622284
2,5,Drew Lachey,Singer/Rapper,1st Place,27.0,3,2.0,0.1788079470198675,9,False,1.0,Rank_Standard,2.0,0.17320597298052462
2,5,George Hamilton,Actor/Actress,Eliminated Week 6,24.0,3,4.0,0.1589403973509933,6,False,,Rank_Standard,4.0,0.16160688712206234
2,5,Jerry Rice,Athlete,2nd Place,23.0,3,5.0,0.152317880794702,9,False,2.0,Rank_Standard,5.0,0.15804067053888296
2,5,Lisa Rinna,Actor/Actress,Eliminated Week 7,25.0,3,3.0,0.1655629139072847,7,False,,Rank_Standard,3.0,0.16632354717837392
2,5,Stacy Keibler,Athlete,3rd Place,30.0,3,1.0,0.1986754966887417,9,False,3.0,Rank_Standard,1.0,0.18563756539330453
2,5,Tia Carrere,Actor/Actress,Eliminated Week 5,22.0,3,6.0,0.1456953642384106,5,True,,Rank_Standard,6.0,0.15518535678685152
2,6,Drew Lachey,Singer/Rapper,1st Place,30.0,3,1.0,0.225563909774436,9,False,1.0,Rank_Standard,1.0,0.21973762751939874
2,6,George Hamilton,Actor/Actress,Eliminated Week 6,23.0,3,4.0,0.1729323308270676,6,True,,Rank_Standard,5.0,0.18707141478726597
2,6,Jerry Rice,Athlete,2nd Place,23.0,3,4.0,0.1729323308270676,9,False,2.0,Rank_Standard,4.0,0.1912927154143665
2,6,Lisa Rinna,Actor/Actress,Eliminated Week 7,27.0,3,3.0,0.2030075187969924,7,False,,Rank_Standard,3.0,0.1968757863213436
2,6,Stacy Keibler,Athlete,3rd Place,30.0,3,1.0,0.225563909774436,9,False,3.0,Rank_Standard,2.0,0.2050224559576253
2,7,Drew Lachey,Singer/Rapper,1st Place,27.5,3,1.0,0.2696078431372549,9,False,1.0,Rank_Standard,1.0,0.270303728416557
2,7,Jerry Rice,Athlete,2nd Place,20.5,3,4.0,0.2009803921568627,9,False,2.0,Rank_Standard,3.0,0.24218091220131405
2,7,Lisa Rinna,Actor/Actress,Eliminated Week 7,26.5,3,3.0,0.2598039215686274,7,True,,Rank_Standard,4.0,0.2353130630340762
2,7,Stacy Keibler,Athlete,3rd Place,27.5,3,1.0,0.2696078431372549,9,False,3.0,Rank_Standard,2.0,0.25220229634805286
2,8,Drew Lachey,Singer/Rapper,1st Place,28.9998,3,1.0,0.3438729131809768,9,False,1,Rank_Standard,1.0,0.3534828638358213
2,8,Jerry Rice,Athlete,2nd Place,26.666600000000003,3,3.0,0.3162063678588072,9,False,2,Rank_Standard,2.0,0.3298111739017343
2,8,Stacy Keibler,Athlete,3rd Place,28.6665,3,2.0,0.339920718960216,9,False,3,Rank_Standard,3.0,0.31670596226244435
3,1,Emmitt Smith,Athlete,1st Place,24.0,3,2.0,0.1132075471698113,11,False,1,Percentage,12.028301859970366,0.12028301859970365
3,1,Harry Hamlin,Actor/Actress,Eliminated Week 3,17.0,3,8.0,0.080188679245283,3,False,,Percentage,8.726415067517536,0.08726415067517536
3,1,Jerry Springer,TV Personality,Eliminated Week 7,16.0,3,9.0,0.0754716981132075,7,False,,Percentage,8.25471701391463,0.08254717013914631
3,1,Joey Lawrence,Actor/Actress,3rd Place,21.0,3,5.0,0.0990566037735849,11,False,3,Percentage,10.61320757995237,0.1061320757995237
3,1,Mario Lopez,Actor/Actress,2nd Place,26.0,3,1.0,0.1226415094339622,11,False,2,Percentage,12.971698086385452,0.12971698086385453
3,1,Monique Coleman,Actor/Actress,Eliminated Week 8,19.0,3,6.0,0.0896226415094339,8,False,,Percentage,9.669811293932629,0.09669811293932629
3,1,Sara Evans,Singer/Rapper,Withdrew,15.0,3,10.0,0.070754716981132,10,False,Withdrew,Percentage,,
3,1,Shanna Moakler,Model,Eliminated Week 2,18.0,3,7.0,0.0849056603773584,2,False,,Percentage,9.19811324032972,0.0919811324032972
3,1,Tucker Carlson,TV Personality,Eliminated Week 1,12.0,3,11.0,0.0566037735849056,1,True,,Percentage,6.367924561084441,0.06367924561084441
3,1,Vivica A. Fox,Actor/Actress,Eliminated Week 4,22.0,3,3.0,0.1037735849056603,4,False,,Percentage,11.084905633555264,0.11084905633555264
3,1,Willa Ford,Singer/Rapper,Eliminated Week 5,22.0,3,3.0,0.1037735849056603,5,False,,Percentage,11.084905663357588,0.11084905663357589
3,2,Emmitt Smith,Athlete,1st Place,24.0,3,3.0,0.1043478260869565,11,False,1,Percentage,11.449275402055273,0.11449275402055274
3,2,Harry Hamlin,Actor/Actress,Eliminated Week 3,21.0,3,7.0,0.0913043478260869,3,False,,Percentage,10.14492757596831,0.10144927575968311
3,2,Jerry Springer,TV Personality,Eliminated Week 7,19.0,3,10.0,0.0826086956521739,7,False,,Percentage,10.579710125059307,0.10579710125059309
3,2,Joey Lawrence,Actor/Actress,3rd Place,29.0,3,1.0,0.1260869565217391,11,False,3,Percentage,13.623188445533527,0.1362318844553353
3,2,Mario Lopez,Actor/Actress,2nd Place,21.0,3,7.0,0.0913043478260869,11,False,2,Percentage,10.144927516363666,0.10144927516363667
3,2,Monique Coleman,Actor/Actress,Eliminated Week 8,26.0,3,2.0,0.1130434782608695,8,False,,Percentage,12.318840559841927,0.12318840559841929
3,2,Sara Evans,Singer/Rapper,Withdrew,21.0,3,7.0,0.0913043478260869,10,False,Withdrew,Percentage,,
3,2,Shanna Moakler,Model,Eliminated Week 2,22.0,3,6.0,0.0956521739130434,2,True,,Percentage,9.275362298972372,0.09275362298972373
3,2,Vivica A. Fox,Actor/Actress,Eliminated Week 4,24.0,3,3.0,0.1043478260869565,4,False,,Percentage,11.449275342450628,0.1144927534245063
3,2,Willa Ford,Singer/Rapper,Eliminated Week 5,23.0,3,5.0,0.1,5,False,,Percentage,11.014492733754976,0.11014492733754977
3,3,Emmitt Smith,Athlete,1st Place,19.0,3,9.0,0.0917874396135265,11,False,1,Percentage,12.137681219024936,0.12137681219024937
3,3,Harry Hamlin,Actor/Actress,Eliminated Week 3,22.0,3,4.0,0.1062801932367149,3,True,,Percentage,10.688405856706083,0.10688405856706085
3,3,Jerry Springer,TV Personality,Eliminated Week 7,21.0,3,8.0,0.1014492753623188,7,False,,Percentage,11.654589431585322,0.11654589431585323
3,3,Joey Lawrence,Actor/Actress,3rd Place,22.0,3,4.0,0.1062801932367149,11,False,3,Percentage,12.137681219024934,0.12137681219024936
3,3,Mario Lopez,Actor/Actress,2nd Place,22.0,3,4.0,0.1062801932367149,11,False,2,Percentage,12.137681099815646,0.12137681099815648
3,3,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,1.0,0.1304347826086956,8,False,,Percentage,14.553140037013714,0.14553140037013715
3,3,Sara Evans,Singer/Rapper,Withdrew,25.0,3,3.0,0.1207729468599033,10,False,Withdrew,Percentage,,
3,3,Vivica A. Fox,Actor/Actress,Eliminated Week 4,27.0,3,1.0,0.1304347826086956,4,False,,Percentage,14.553140037013712,0.14553140037013715
3,3,Willa Ford,Singer/Rapper,Eliminated Week 5,22.0,3,4.0,0.1062801932367149,5,False,,Percentage,12.137681099815646,0.12137681099815648
3,4,Emmitt Smith,Athlete,1st Place,24.0,3,4.0,0.1212121212121212,11,False,1,Percentage,13.564213581243466,0.13564213581243467
3,4,Jerry Springer,TV Personality,Eliminated Week 7,22.0,3,7.0,0.1111111111111111,7,False,,Percentage,13.564213581243466,0.13564213581243467
3,4,Joey Lawrence,Actor/Actress,3rd Place,27.0,3,3.0,0.1363636363636363,11,False,3,Percentage,15.079365096394971,0.1507936509639497
3,4,Mario Lopez,Actor/Actress,2nd Place,29.0,3,1.0,0.1464646464646464,11,False,2,Percentage,16.089465987286694,0.16089465987286694
3,4,Monique Coleman,Actor/Actress,Eliminated Week 8,24.0,3,4.0,0.1212121212121212,8,False,,Percentage,13.564213581243465,0.13564213581243464
3,4,Sara Evans,Singer/Rapper,Withdrew,20.0,3,8.0,0.101010101010101,10,False,Withdrew,Percentage,,
3,4,Vivica A. Fox,Actor/Actress,Eliminated Week 4,24.0,3,4.0,0.1212121212121212,4,True,,Percentage,12.554112571142449,0.12554112571142448
3,4,Willa Ford,Singer/Rapper,Eliminated Week 5,28.0,3,2.0,0.1414141414141414,5,False,,Percentage,15.584415601445484,0.15584415601445484
3,5,Emmitt Smith,Athlete,1st Place,27.0,3,1.0,0.149171270718232,11,False,1,Percentage,17.127071703995128,0.17127071703995128
3,5,Jerry Springer,TV Personality,Eliminated Week 7,24.0,3,6.0,0.1325966850828729,7,False,,Percentage,16.94290972085288,0.1694290972085288
3,5,Joey Lawrence,Actor/Actress,3rd Place,25.0,3,5.0,0.1381215469613259,11,False,3,Percentage,16.390423533007585,0.16390423533007584
3,5,Mario Lopez,Actor/Actress,2nd Place,27.0,3,1.0,0.149171270718232,11,False,2,Percentage,17.127071942413707,0.17127071942413707
3,5,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,1.0,0.149171270718232,8,False,,Percentage,17.127071942413707,0.17127071942413707
3,5,Sara Evans,Singer/Rapper,Withdrew,24.0,3,6.0,0.1325966850828729,10,False,Withdrew,Percentage,,
3,5,Willa Ford,Singer/Rapper,Eliminated Week 5,27.0,3,1.0,0.149171270718232,5,True,,Percentage,15.28545115731698,0.1528545115731698
3,6,Emmitt Smith,Athlete,1st Place,25.0,3,2.0,0.211864406779661,11,False,1.0,Percentage,21.1864406779661,0.21186440677966106
3,6,Jerry Springer,TV Personality,Eliminated Week 7,18.0,3,5.0,0.1525423728813559,7,False,,Percentage,15.254237288135588,0.15254237288135591
3,6,Joey Lawrence,Actor/Actress,3rd Place,24.0,3,3.0,0.2033898305084746,11,False,3.0,Percentage,20.33898305084746,0.20338983050847467
3,6,Mario Lopez,Actor/Actress,2nd Place,28.0,3,1.0,0.2372881355932203,11,False,2.0,Percentage,23.728813559322028,0.23728813559322035
3,6,Monique Coleman,Actor/Actress,Eliminated Week 8,23.0,3,4.0,0.1949152542372881,8,False,,Percentage,19.49152542372881,0.19491525423728814
3,7,Emmitt Smith,Athlete,1st Place,28.5,3,1.0,0.2111111111111111,11,False,1.0,Percentage,21.11111111111111,0.2111111111111111
3,7,Jerry Springer,TV Personality,Eliminated Week 7,23.0,3,5.0,0.1703703703703703,7,True,,Percentage,17.03703703703703,0.1703703703703703
3,7,Joey Lawrence,Actor/Actress,3rd Place,28.5,3,1.0,0.2111111111111111,11,False,3.0,Percentage,21.11111111111111,0.2111111111111111
3,7,Mario Lopez,Actor/Actress,2nd Place,28.0,3,3.0,0.2074074074074074,11,False,2.0,Percentage,20.74074074074074,0.2074074074074074
3,7,Monique Coleman,Actor/Actress,Eliminated Week 8,27.0,3,4.0,0.2,8,False,,Percentage,20.0,0.2
3,8,Emmitt Smith,Athlete,1st Place,27.0,3,2.0,0.2477064220183486,11,False,1.0,Percentage,24.77064220183486,0.24770642201834864
3,8,Joey Lawrence,Actor/Actress,3rd Place,27.0,3,2.0,0.2477064220183486,11,False,3.0,Percentage,24.77064220183486,0.24770642201834864
3,8,Mario Lopez,Actor/Actress,2nd Place,28.5,3,1.0,0.2614678899082568,11,False,2.0,Percentage,26.14678899082568,0.2614678899082568
3,8,Monique Coleman,Actor/Actress,Eliminated Week 8,26.5,3,4.0,0.2431192660550458,8,True,,Percentage,24.31192660550458,0.24311926605504586
3,9,Emmitt Smith,Athlete,1st Place,29.5,3,1.0,0.3333333333333333,11,False,1,Percentage,33.33333333333333,0.3333333333333333
3,9,Joey Lawrence,Actor/Actress,3rd Place,29.5,3,1.0,0.3333333333333333,11,False,3,Percentage,33.33333333333333,0.3333333333333333
3,9,Mario Lopez,Actor/Actress,2nd Place,29.5,3,1.0,0.3333333333333333,11,False,2,Percentage,33.33333333333333,0.3333333333333333
3,10,Emmitt Smith,Athlete,1st Place,29.666600000000003,3,1.0,0.5,11,False,1,Percentage,50.0,0.5
3,10,Mario Lopez,Actor/Actress,2nd Place,29.666600000000003,3,1.0,0.5,11,False,2,Percentage,50.0,0.5
4,1,Apolo Anton Ohno,Athlete,1st Place,21.0,3,3.0,0.1019417475728155,11,False,1.0,Percentage,10.19417475728155,0.10194174757281554
4,1,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,13.0,3,11.0,0.0631067961165048,8,False,,Percentage,6.31067961165048,0.06310679611650483
4,1,Clyde Drexler,Athlete,Eliminated Week 5,16.0,3,9.0,0.0776699029126213,5,False,,Percentage,7.76699029126213,0.07766990291262132
4,1,Heather Mills,Model,Eliminated Week 6,18.0,3,7.0,0.087378640776699,6,False,,Percentage,8.7378640776699,0.08737864077669905
4,1,Ian Ziering,Actor/Actress,Eliminated Week 9,21.0,3,3.0,0.1019417475728155,9,False,,Percentage,10.19417475728155,0.10194174757281554
4,1,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,1.0,0.116504854368932,11,False,2.0,Percentage,11.6504854368932,0.11650485436893206
4,1,John Ratzenberger,Actor/Actress,Eliminated Week 7,17.0,3,8.0,0.0825242718446602,7,False,,Percentage,8.25242718446602,0.08252427184466024
4,1,Laila Ali,Athlete,3rd Place,23.0,3,2.0,0.1116504854368932,11,False,3.0,Percentage,11.16504854368932,0.11165048543689325
4,1,Leeza Gibbons,TV Personality,Eliminated Week 4,15.0,3,10.0,0.0728155339805825,4,False,,Percentage,7.281553398058251,0.07281553398058255
4,1,Paulina Porizkova,Model,Eliminated Week 2,19.0,3,5.0,0.0922330097087378,2,False,,Percentage,9.22330097087378,0.09223300970873784
4,1,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,19.0,3,5.0,0.0922330097087378,3,False,,Percentage,9.22330097087378,0.09223300970873784
4,2,Apolo Anton Ohno,Athlete,1st Place,26.0,3,2.0,0.1061224489795918,11,False,1.0,Percentage,10.612244896604532,0.10612244896604532
4,2,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.0857142857142857,8,False,,Percentage,8.571428570073923,0.08571428570073923
4,2,Clyde Drexler,Athlete,Eliminated Week 5,18.0,3,11.0,0.073469387755102,5,False,,Percentage,8.571428577524504,0.08571428577524504
4,2,Heather Mills,Model,Eliminated Week 6,24.0,3,3.0,0.0979591836734693,6,False,,Percentage,9.795918365992284,0.09795918365992284
4,2,Ian Ziering,Actor/Actress,Eliminated Week 9,22.0,3,5.0,0.0897959183673469,9,False,,Percentage,8.979591835380045,0.08979591835380045
4,2,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,3.0,0.0979591836734693,11,False,2.0,Percentage,9.795918365992284,0.09795918365992284
4,2,John Ratzenberger,Actor/Actress,Eliminated Week 7,21.0,3,6.0,0.0857142857142857,7,False,,Percentage,8.571428570073923,0.08571428570073923
4,2,Laila Ali,Athlete,3rd Place,27.0,3,1.0,0.110204081632653,11,False,3.0,Percentage,11.020408161910654,0.11020408161910654
4,2,Leeza Gibbons,TV Personality,Eliminated Week 4,21.0,3,6.0,0.0857142857142857,4,False,,Percentage,8.571428570073923,0.08571428570073923
4,2,Paulina Porizkova,Model,Eliminated Week 2,21.0,3,6.0,0.0857142857142857,2,True,,Percentage,7.346938781606136,0.07346938781606135
4,2,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,20.0,3,10.0,0.0816326530612244,3,False,,Percentage,8.163265304767794,0.08163265304767794
4,3,Apolo Anton Ohno,Athlete,1st Place,23.0,3,5.0,0.1055045871559633,11,False,1.0,Percentage,10.550458709635867,0.10550458709635867
4,3,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,6.0,0.0963302752293578,8,False,,Percentage,9.633027516975318,0.09633027516975318
4,3,Clyde Drexler,Athlete,Eliminated Week 5,16.0,3,10.0,0.073394495412844,5,False,,Percentage,9.633027546777642,0.09633027546777642
4,3,Heather Mills,Model,Eliminated Week 6,24.0,3,1.0,0.110091743119266,6,False,,Percentage,11.00917430596614,0.11009174305966139
4,3,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,1.0,0.110091743119266,9,False,,Percentage,11.00917430596614,0.11009174305966139
4,3,Joey Fatone,Singer/Rapper,2nd Place,24.0,3,1.0,0.110091743119266,11,False,2.0,Percentage,11.00917430596614,0.11009174305966139
4,3,John Ratzenberger,Actor/Actress,Eliminated Week 7,20.0,3,9.0,0.091743119266055,7,False,,Percentage,9.17431192064504,0.09174311920645041
4,3,Laila Ali,Athlete,3rd Place,21.0,3,6.0,0.0963302752293578,11,False,3.0,Percentage,9.63302751697532,0.09633027516975319
4,3,Leeza Gibbons,TV Personality,Eliminated Week 4,24.0,3,1.0,0.110091743119266,4,False,,Percentage,11.00917430596614,0.11009174305966139
4,3,Shandi Finnessey,Beauty Pagent,Eliminated Week 3,21.0,3,6.0,0.0963302752293578,3,True,,Percentage,7.339449565126263,0.07339449565126263
4,4,Apolo Anton Ohno,Athlete,1st Place,26.0,3,2.0,0.1368421052631579,11,False,1.0,Percentage,13.684210526315796,0.13684210526315796
4,4,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,21.0,3,5.0,0.1105263157894736,8,False,,Percentage,11.052631578947365,0.11052631578947364
4,4,Clyde Drexler,Athlete,Eliminated Week 5,15.0,3,9.0,0.0789473684210526,5,False,,Percentage,8.421052631578945,0.08421052631578946
4,4,Heather Mills,Model,Eliminated Week 6,23.0,3,4.0,0.1210526315789473,6,False,,Percentage,12.105263157894736,0.12105263157894736
4,4,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,3.0,0.1263157894736842,9,False,,Percentage,12.631578947368425,0.12631578947368424
4,4,Joey Fatone,Singer/Rapper,2nd Place,28.0,3,1.0,0.1473684210526315,11,False,2.0,Percentage,14.736842105263156,0.14736842105263157
4,4,John Ratzenberger,Actor/Actress,Eliminated Week 7,16.0,3,7.0,0.0842105263157894,7,False,,Percentage,8.421052631578945,0.08421052631578946
4,4,Laila Ali,Athlete,3rd Place,21.0,3,5.0,0.1105263157894736,11,False,3.0,Percentage,11.052631578947365,0.11052631578947364
4,4,Leeza Gibbons,TV Personality,Eliminated Week 4,16.0,3,7.0,0.0842105263157894,4,True,,Percentage,7.894736842105267,0.07894736842105267
4,5,Apolo Anton Ohno,Athlete,1st Place,30.0,3,1.0,0.1704545454545454,11,False,1.0,Percentage,17.04545454545454,0.17045454545454547
4,5,Billy Ray Cyrus,Singer/Rapper,Eliminated Week 8,17.0,3,7.0,0.096590909090909,8,False,,Percentage,9.6590909090909,0.09659090909090903
4,5,Clyde Drexler,Athlete,Eliminated Week 5,13.0,3,8.0,0.0738636363636363,5,True,,Percentage,7.38636363636363,0.07386363636363633
4,5,Heather Mills,Model,Eliminated Week 6,21.0,3,5.0,0.1193181818181818,6,False,,Percentage,11.93181818181818,0.11931818181818185
4,5,Ian Ziering,Actor/Actress,Eliminated Week 9,24.0,3,4.0,0.1363636363636363,9,False,,Percentage,13.63636363636363,0.13636363636363635
