,season,week,rank_loser,rank_loser_fan_rank,pct_loser,pct_loser_fan_rank,favored_method
51,30,3,Cody Rigsby,0.13333333333333333,Amanda Kloots,0.009523809523809525,Percent Method
52,30,4,Brian Austin Green,0.14285714285714285,Melora Hardin,0.01098901098901099,Percent Method
53,30,5,Iman Shumpert,0.16666666666666666,JoJo Siwa,0.015151515151515152,Percent Method
54,30,6,Kenya Moore,0.18181818181818182,Iman Shumpert,0.01818181818181818,Percent Method
55,30,7,"Mike ""The Miz"" Mizanin",0.2,Olivia Jade,0.022222222222222223,Percent Method
56,30,8,Jimmie Allen,0.2222222222222222,Suni Lee,0.027777777777777776,Percent Method
57,30,9,Cody Rigsby,0.2857142857142857,JoJo Siwa,0.047619047619047616,Percent Method
58,30,10,Cody Rigsby,0.3,Iman Shumpert,0.1,Percent Method
59,31,1,Vinny Guadagnino,0.125,Wayne Brady,0.016666666666666666,Percent Method
60,31,2,Cheryl Ladd,0.13333333333333333,Charli D'Amelio,0.009523809523809525,Percent Method
61,31,3,Vinny Guadagnino,0.14285714285714285,Wayne Brady,0.01098901098901099,Percent Method
62,31,4,Sam Champion,0.15384615384615385,Wayne Brady,0.01282051282051282,Percent Method
63,31,5,Vinny Guadagnino,0.16666666666666666,Charli D'Amelio,0.015151515151515152,Percent Method
64,31,6,Vinny Guadagnino,0.18181818181818182,Gabby Windey,0.03636363636363636,Percent Method
65,31,7,Vinny Guadagnino,0.2,Trevor Donovan,0.022222222222222223,Percent Method
66,31,8,Vinny Guadagnino,0.2222222222222222,Wayne Brady,0.027777777777777776,Percent Method
67,31,9,Trevor Donovan,0.2857142857142857,Charli D'Amelio,0.047619047619047616,Percent Method
68,31,10,Wayne Brady,0.3,Charli D'Amelio,0.1,Percent Method
69,32,3,Tyson Beckford,0.15384615384615385,Lele Pons,0.0641025641025641,Percent Method
70,32,4,Alyson Hannigan,0.15151515151515152,Ariana Madix,0.030303030303030304,Percent Method
71,32,5,Harry Jowsey,0.18181818181818182,Xochitl Gomez,0.01818181818181818,Percent Method
72,32,6,Harry Jowsey,0.2,Xochitl Gomez,0.022222222222222223,Percent Method
73,32,7,Harry Jowsey,0.2222222222222222,Ariana Madix,0.027777777777777776,Percent Method
74,32,8,Harry Jowsey,0.25,Ariana Madix,0.03571428571428571,Percent Method
75,32,9,Harry Jowsey,0.2857142857142857,Jason Mraz,0.047619047619047616,Percent Method
76,32,10,Alyson Hannigan,0.3333333333333333,Xochitl Gomez,0.06666666666666667,Percent Method
77,32,11,Alyson Hannigan,0.3333333333333333,Xochitl Gomez,0.06666666666666667,Percent Method
78,33,1,Eric Roberts,0.14285714285714285,Chandler Kinney,0.01098901098901099,Percent Method
79,33,2,Eric Roberts,0.13186813186813187,Dwight Howard ,0.02197802197802198,Percent Method
80,33,3,Reginald VelJohnson,0.16666666666666666,Joey Graziadei,0.015151515151515152,Percent Method
81,33,4,Dwight Howard ,0.2,Joey Graziadei,0.022222222222222223,Percent Method
82,33,5,Stephen Nedoroscik,0.16666666666666666,Chandler Kinney,0.027777777777777776,Percent Method
83,33,6,Ilona Maher,0.25,Chandler Kinney,0.03571428571428571,Percent Method
84,33,7,Dwight Howard ,0.2857142857142857,Chandler Kinney,0.047619047619047616,Percent Method
85,33,8,Stephen Nedoroscik,0.3333333333333333,Joey Graziadei,0.06666666666666667,Percent Method
86,34,1,Andy Richter,0.12380952380952381,Scott Hoying,0.08571428571428572,Percent Method
87,34,2,Corey Feldman,0.13333333333333333,Robert Irwin,0.009523809523809525,Percent Method
88,34,3,Lauren Jauregui,0.14102564102564102,Whitney Leavitt,0.01282051282051282,Percent Method
89,34,4,Andy Richter,0.16666666666666666,Whitney Leavitt,0.015151515151515152,Percent Method
90,34,5,Andy Richter,0.18181818181818182,Dylan Efron,0.01818181818181818,Percent Method
91,34,6,Andy Richter,0.18181818181818182,Whitney Leavitt,0.01818181818181818,Percent Method
92,34,7,Andy Richter,0.2,Alix Earle,0.022222222222222223,Percent Method
93,34,8,Andy Richter,0.2222222222222222,Whitney Leavitt,0.027777777777777776,Percent Method
94,34,9,Andy Richter,0.25,Whitney Leavitt,0.03571428571428571,Percent Method
95,34,10,Dylan Efron,0.2857142857142857,Robert Irwin,0.047619047619047616,Percent Method
