season,week,celebrity_name,results,total_judge_score,judge_rank,judge_percent,eliminated_week_num,is_eliminated,estimated_fan_metric,estimated_fan_support,scoring_method
3,3,Sara Evans,Withdrew,25,3,0.120772947,10,FALSE,0.111111111,0.111111111,percent
3,3,Vivica A. Fox,Eliminated Week 4,27,1,0.130434783,4,FALSE,0.111111111,0.111111111,percent
3,3,Willa Ford,Eliminated Week 5,22,4,0.106280193,5,FALSE,0.111111111,0.111111111,percent
3,4,Emmitt Smith,1st Place,24,4,0.121212121,11,FALSE,0.125,0.125,percent
3,4,Jerry Springer,Eliminated Week 7,22,7,0.111111111,7,FALSE,0.125,0.125,percent
3,4,Joey Lawrence,3rd Place,27,3,0.136363636,11,FALSE,0.125,0.125,percent
3,4,Mario Lopez,2nd Place,29,1,0.146464646,11,FALSE,0.125,0.125,percent
3,4,Monique Coleman,Eliminated Week 8,24,4,0.121212121,8,FALSE,0.125,0.125,percent
3,4,Sara Evans,Withdrew,20,8,0.101010101,10,FALSE,0.13510101,0.13510101,percent
3,4,Vivica A. Fox,Eliminated Week 4,24,4,0.121212121,4,TRUE,0.11489899,0.11489899,percent
3,4,Willa Ford,Eliminated Week 5,28,2,0.141414141,5,FALSE,0.125,0.125,percent
3,5,Emmitt Smith,1st Place,27,1,0.149171271,11,FALSE,0.142857143,0.142857143,percent
3,5,Jerry Springer,Eliminated Week 7,24,6,0.132596685,7,FALSE,0.148382005,0.148382005,percent
3,5,Joey Lawrence,3rd Place,25,5,0.138121547,11,FALSE,0.142857143,0.142857143,percent
3,5,Mario Lopez,2nd Place,27,1,0.149171271,11,FALSE,0.142857143,0.142857143,percent
3,5,Monique Coleman,Eliminated Week 8,27,1,0.149171271,8,FALSE,0.142857143,0.142857143,percent
3,5,Sara Evans,Withdrew,24,6,0.132596685,10,FALSE,0.148382005,0.148382005,percent
3,5,Willa Ford,Eliminated Week 5,27,1,0.149171271,5,TRUE,0.131807419,0.131807419,percent
3,6,Emmitt Smith,1st Place,25,2,0.211864407,11,FALSE,0.2,0.2,percent
3,6,Jerry Springer,Eliminated Week 7,18,5,0.152542373,7,FALSE,0.2,0.2,percent
3,6,Joey Lawrence,3rd Place,24,3,0.203389831,11,FALSE,0.2,0.2,percent
3,6,Mario Lopez,2nd Place,28,1,0.237288136,11,FALSE,0.2,0.2,percent
3,6,Monique Coleman,Eliminated Week 8,23,4,0.194915254,8,FALSE,0.2,0.2,percent
3,7,Emmitt Smith,1st Place,28.5,1,0.211111111,11,FALSE,0.2,0.2,percent
3,7,Jerry Springer,Eliminated Week 7,23,5,0.17037037,7,TRUE,0.2,0.2,percent
3,7,Joey Lawrence,3rd Place,28.5,1,0.211111111,11,FALSE,0.2,0.2,percent
3,7,Mario Lopez,2nd Place,28,3,0.207407407,11,FALSE,0.2,0.2,percent
3,7,Monique Coleman,Eliminated Week 8,27,4,0.2,8,FALSE,0.2,0.2,percent
3,8,Emmitt Smith,1st Place,27,2,0.247706422,11,FALSE,0.25,0.25,percent
3,8,Joey Lawrence,3rd Place,27,2,0.247706422,11,FALSE,0.25,0.25,percent
3,8,Mario Lopez,2nd Place,28.5,1,0.26146789,11,FALSE,0.25,0.25,percent
3,8,Monique Coleman,Eliminated Week 8,26.5,4,0.243119266,8,TRUE,0.25,0.25,percent
3,9,Emmitt Smith,1st Place,29.5,1,0.333333333,11,FALSE,0.333333333,0.333333333,percent
3,9,Joey Lawrence,3rd Place,29.5,1,0.333333333,11,FALSE,0.333333333,0.333333333,percent
3,9,Mario Lopez,2nd Place,29.5,1,0.333333333,11,FALSE,0.333333333,0.333333333,percent
3,10,Emmitt Smith,1st Place,29.6666,1,0.5,11,FALSE,0.5,0.5,percent
3,10,Mario Lopez,2nd Place,29.6666,1,0.5,11,FALSE,0.5,0.5,percent
4,1,Apolo Anton Ohno,1st Place,21,3,0.101941748,11,FALSE,0.090909091,0.090909091,percent
4,1,Billy Ray Cyrus,Eliminated Week 8,13,11,0.063106796,8,FALSE,0.090909091,0.090909091,percent
4,1,Clyde Drexler,Eliminated Week 5,16,9,0.077669903,5,FALSE,0.090909091,0.090909091,percent
4,1,Heather Mills,Eliminated Week 6,18,7,0.087378641,6,FALSE,0.090909091,0.090909091,percent
4,1,Ian Ziering,Eliminated Week 9,21,3,0.101941748,9,FALSE,0.090909091,0.090909091,percent
4,1,Joey Fatone,2nd Place,24,1,0.116504854,11,FALSE,0.090909091,0.090909091,percent
4,1,John Ratzenberger,Eliminated Week 7,17,8,0.082524272,7,FALSE,0.090909091,0.090909091,percent
4,1,Laila Ali,3rd Place,23,2,0.111650485,11,FALSE,0.090909091,0.090909091,percent
4,1,Leeza Gibbons,Eliminated Week 4,15,10,0.072815534,4,FALSE,0.090909091,0.090909091,percent
4,1,Paulina Porizkova,Eliminated Week 2,19,5,0.09223301,2,FALSE,0.090909091,0.090909091,percent
4,1,Shandi Finnessey,Eliminated Week 3,19,5,0.09223301,3,FALSE,0.090909091,0.090909091,percent
4,2,Apolo Anton Ohno,1st Place,26,2,0.106122449,11,FALSE,0.090909091,0.090909091,percent
4,2,Billy Ray Cyrus,Eliminated Week 8,21,6,0.085714286,8,FALSE,0.090909091,0.090909091,percent
4,2,Clyde Drexler,Eliminated Week 5,18,11,0.073469388,5,FALSE,0.09703154,0.09703154,percent
4,2,Heather Mills,Eliminated Week 6,24,3,0.097959184,6,FALSE,0.090909091,0.090909091,percent
4,2,Ian Ziering,Eliminated Week 9,22,5,0.089795918,9,FALSE,0.090909091,0.090909091,percent
4,2,Joey Fatone,2nd Place,24,3,0.097959184,11,FALSE,0.090909091,0.090909091,percent
4,2,John Ratzenberger,Eliminated Week 7,21,6,0.085714286,7,FALSE,0.090909091,0.090909091,percent
4,2,Laila Ali,3rd Place,27,1,0.110204082,11,FALSE,0.090909091,0.090909091,percent
4,2,Leeza Gibbons,Eliminated Week 4,21,6,0.085714286,4,FALSE,0.090909091,0.090909091,percent
4,2,Paulina Porizkova,Eliminated Week 2,21,6,0.085714286,2,TRUE,0.084786642,0.084786642,percent
4,2,Shandi Finnessey,Eliminated Week 3,20,10,0.081632653,3,FALSE,0.090909091,0.090909091,percent
4,3,Apolo Anton Ohno,1st Place,23,5,0.105504587,11,FALSE,0.1,0.1,percent
4,3,Billy Ray Cyrus,Eliminated Week 8,21,6,0.096330275,8,FALSE,0.1,0.1,percent
4,3,Clyde Drexler,Eliminated Week 5,16,10,0.073394495,5,FALSE,0.11146789,0.11146789,percent
4,3,Heather Mills,Eliminated Week 6,24,1,0.110091743,6,FALSE,0.1,0.1,percent
4,3,Ian Ziering,Eliminated Week 9,24,1,0.110091743,9,FALSE,0.1,0.1,percent
4,3,Joey Fatone,2nd Place,24,1,0.110091743,11,FALSE,0.1,0.1,percent
4,3,John Ratzenberger,Eliminated Week 7,20,9,0.091743119,7,FALSE,0.1,0.1,percent
4,3,Laila Ali,3rd Place,21,6,0.096330275,11,FALSE,0.1,0.1,percent
4,3,Leeza Gibbons,Eliminated Week 4,24,1,0.110091743,4,FALSE,0.1,0.1,percent
4,3,Shandi Finnessey,Eliminated Week 3,21,6,0.096330275,3,TRUE,0.08853211,0.08853211,percent
4,4,Apolo Anton Ohno,1st Place,26,2,0.136842105,11,FALSE,0.111111111,0.111111111,percent
4,4,Billy Ray Cyrus,Eliminated Week 8,21,5,0.110526316,8,FALSE,0.111111111,0.111111111,percent
4,4,Clyde Drexler,Eliminated Week 5,15,9,0.078947368,5,FALSE,0.11374269,0.11374269,percent
4,4,Heather Mills,Eliminated Week 6,23,4,0.121052632,6,FALSE,0.111111111,0.111111111,percent
4,4,Ian Ziering,Eliminated Week 9,24,3,0.126315789,9,FALSE,0.111111111,0.111111111,percent
4,4,Joey Fatone,2nd Place,28,1,0.147368421,11,FALSE,0.111111111,0.111111111,percent
4,4,John Ratzenberger,Eliminated Week 7,16,7,0.084210526,7,FALSE,0.111111111,0.111111111,percent
4,4,Laila Ali,3rd Place,21,5,0.110526316,11,FALSE,0.111111111,0.111111111,percent
4,4,Leeza Gibbons,Eliminated Week 4,16,7,0.084210526,4,TRUE,0.108479532,0.108479532,percent
4,5,Apolo Anton Ohno,1st Place,30,1,0.170454545,11,FALSE,0.125,0.125,percent
4,5,Billy Ray Cyrus,Eliminated Week 8,17,7,0.096590909,8,FALSE,0.125,0.125,percent
4,5,Clyde Drexler,Eliminated Week 5,13,8,0.073863636,5,TRUE,0.125,0.125,percent
4,5,Heather Mills,Eliminated Week 6,21,5,0.119318182,6,FALSE,0.125,0.125,percent
4,5,Ian Ziering,Eliminated Week 9,24,4,0.136363636,9,FALSE,0.125,0.125,percent
4,5,Joey Fatone,2nd Place,25,3,0.142045455,11,FALSE,0.125,0.125,percent
4,5,John Ratzenberger,Eliminated Week 7,18,6,0.102272727,7,FALSE,0.125,0.125,percent
4,5,Laila Ali,3rd Place,28,2,0.159090909,11,FALSE,0.125,0.125,percent
4,6,Apolo Anton Ohno,1st Place,28,1,0.164705882,11,FALSE,0.142857143,0.142857143,percent
4,6,Billy Ray Cyrus,Eliminated Week 8,21,6,0.123529412,8,FALSE,0.142857143,0.142857143,percent
4,6,Heather Mills,Eliminated Week 6,23,5,0.135294118,6,TRUE,0.131092437,0.131092437,percent
4,6,Ian Ziering,Eliminated Week 9,24,4,0.141176471,9,FALSE,0.142857143,0.142857143,percent
4,6,Joey Fatone,2nd Place,27,3,0.158823529,11,FALSE,0.142857143,0.142857143,percent
4,6,John Ratzenberger,Eliminated Week 7,19,7,0.111764706,7,FALSE,0.154621849,0.154621849,percent
4,6,Laila Ali,3rd Place,28,1,0.164705882,11,FALSE,0.142857143,0.142857143,percent
4,7,Apolo Anton Ohno,1st Place,27,3,0.174757282,11,FALSE,0.166666667,0.166666667,percent
4,7,Billy Ray Cyrus,Eliminated Week 8,19,6,0.122977346,8,FALSE,0.177993528,0.177993528,percent
4,7,Ian Ziering,Eliminated Week 9,27,3,0.174757282,9,FALSE,0.166666667,0.166666667,percent
4,7,Joey Fatone,2nd Place,29.5,1,0.190938511,11,FALSE,0.166666667,0.166666667,percent
4,7,John Ratzenberger,Eliminated Week 7,22.5,5,0.145631068,7,TRUE,0.155339806,0.155339806,percent
4,7,Laila Ali,3rd Place,29.5,1,0.190938511,11,FALSE,0.166666667,0.166666667,percent
4,8,Apolo Anton Ohno,1st Place,29,1,0.231075697,11,FALSE,0.2,0.2,percent
4,8,Billy Ray Cyrus,Eliminated Week 8,19,5,0.151394422,8,TRUE,0.2,0.2,percent
4,8,Ian Ziering,Eliminated Week 9,23.5,4,0.187250996,9,FALSE,0.2,0.2,percent
4,8,Joey Fatone,2nd Place,27.5,2,0.219123506,11,FALSE,0.2,0.2,percent
4,8,Laila Ali,3rd Place,26.5,3,0.211155378,11,FALSE,0.2,0.2,percent
4,9,Apolo Anton Ohno,1st Place,29.5,3,0.248945148,11,FALSE,0.25,0.25,percent
4,9,Ian Ziering,Eliminated Week 9,29,4,0.244725738,9,TRUE,0.25,0.25,percent
4,9,Joey Fatone,2nd Place,30,1,0.253164557,11,FALSE,0.25,0.25,percent
4,9,Laila Ali,3rd Place,30,1,0.253164557,11,FALSE,0.25,0.25,percent
4,10,Apolo Anton Ohno,1st Place,29.3332,1,0.339768501,11,FALSE,0.333333333,0.333333333,percent
4,10,Joey Fatone,2nd Place,28.6665,2,0.332046068,11,FALSE,0.333333333,0.333333333,percent
4,10,Laila Ali,3rd Place,28.3332,3,0.328185431,11,FALSE,0.333333333,0.333333333,percent
5,1,Albert Reed,Eliminated Week 2,21,5,0.081712062,2,FALSE,0.083333333,0.083333333,percent
5,1,Cameron Mathison,Eliminated Week 8,21,5,0.081712062,8,FALSE,0.083333333,0.083333333,percent
5,1,Floyd Mayweather Jr. ,Eliminated Week 4,18,11,0.070038911,4,FALSE,0.083333333,0.083333333,percent
5,1,Helio Castroneves,1st Place,25,2,0.097276265,11,FALSE,0.083333333,0.083333333,percent
5,1,Jane Seymour,Eliminated Week 7,24,3,0.093385214,7,FALSE,0.083333333,0.083333333,percent
5,1,Jennie Garth,Eliminated Week 9,21,5,0.081712062,9,FALSE,0.083333333,0.083333333,percent
5,1,Josie Maran,Eliminated Week 1,16,12,0.062256809,1,TRUE,0.083333333,0.083333333,percent
5,1,Marie Osmond,3rd Place,21,5,0.081712062,11,FALSE,0.083333333,0.083333333,percent
5,1,Mark Cuban,Eliminated Week 5,21,5,0.081712062,5,FALSE,0.083333333,0.083333333,percent
5,1,Mel B,2nd Place,24,3,0.093385214,11,FALSE,0.083333333,0.083333333,percent
5,1,Sabrina Bryan,Eliminated Week 6,26,1,0.101167315,6,FALSE,0.083333333,0.083333333,percent
5,1,Wayne Newton,Eliminated Week 3,19,10,0.073929961,3,FALSE,0.083333333,0.083333333,percent
5,2,Albert Reed,Eliminated Week 2,21,5,0.088235294,2,TRUE,0.078304049,0.078304049,percent
5,2,Cameron Mathison,Eliminated Week 8,21,5,0.088235294,8,FALSE,0.090909091,0.090909091,percent
5,2,Floyd Mayweather Jr. ,Eliminated Week 4,21,5,0.088235294,4,FALSE,0.090909091,0.090909091,percent
5,2,Helio Castroneves,1st Place,27,1,0.113445378,11,FALSE,0.090909091,0.090909091,percent
5,2,Jane Seymour,Eliminated Week 7,21,5,0.088235294,7,FALSE,0.090909091,0.090909091,percent
5,2,Jennie Garth,Eliminated Week 9,21,5,0.088235294,9,FALSE,0.090909091,0.090909091,percent
5,2,Marie Osmond,3rd Place,24,3,0.100840336,11,FALSE,0.090909091,0.090909091,percent
5,2,Mark Cuban,Eliminated Week 5,18,10,0.075630252,5,FALSE,0.090909091,0.090909091,percent
5,2,Mel B,2nd Place,23,4,0.096638655,11,FALSE,0.090909091,0.090909091,percent
5,2,Sabrina Bryan,Eliminated Week 6,26,2,0.109243697,6,FALSE,0.090909091,0.090909091,percent
5,2,Wayne Newton,Eliminated Week 3,15,11,0.06302521,3,FALSE,0.103514133,0.103514133,percent
5,3,Cameron Mathison,Eliminated Week 8,23,7,0.09623431,8,FALSE,0.1,0.1,percent
5,3,Floyd Mayweather Jr. ,Eliminated Week 4,21,8,0.087866109,4,FALSE,0.1,0.1,percent
5,3,Helio Castroneves,1st Place,24,6,0.10041841,11,FALSE,0.1,0.1,percent
5,3,Jane Seymour,Eliminated Week 7,27,1,0.112970711,7,FALSE,0.1,0.1,percent
5,3,Jennie Garth,Eliminated Week 9,26,4,0.108786611,9,FALSE,0.1,0.1,percent
5,3,Marie Osmond,3rd Place,26,4,0.108786611,11,FALSE,0.1,0.1,percent
5,3,Mark Cuban,Eliminated Week 5,20,9,0.083682008,5,FALSE,0.1,0.1,percent
5,3,Mel B,2nd Place,27,1,0.112970711,11,FALSE,0.1,0.1,percent
5,3,Sabrina Bryan,Eliminated Week 6,27,1,0.112970711,6,FALSE,0.1,0.1,percent
5,3,Wayne Newton,Eliminated Week 3,18,10,0.075313808,3,TRUE,0.1,0.1,percent
5,4,Cameron Mathison,Eliminated Week 8,27,2,0.115384615,8,FALSE,0.111111111,0.111111111,percent
5,4,Floyd Mayweather Jr. ,Eliminated Week 4,23,8,0.098290598,4,TRUE,0.108974359,0.108974359,percent
5,4,Helio Castroneves,1st Place,27,2,0.115384615,11,FALSE,0.111111111,0.111111111,percent
5,4,Jane Seymour,Eliminated Week 7,26,5,0.111111111,7,FALSE,0.111111111,0.111111111,percent
5,4,Jennie Garth,Eliminated Week 9,27,2,0.115384615,9,FALSE,0.111111111,0.111111111,percent
5,4,Marie Osmond,3rd Place,26,5,0.111111111,11,FALSE,0.111111111,0.111111111,percent
5,4,Mark Cuban,Eliminated Week 5,22,9,0.094017094,5,FALSE,0.113247863,0.113247863,percent
5,4,Mel B,2nd Place,26,5,0.111111111,11,FALSE,0.111111111,0.111111111,percent
5,4,Sabrina Bryan,Eliminated Week 6,30,1,0.128205128,6,FALSE,0.111111111,0.111111111,percent
5,5,Cameron Mathison,Eliminated Week 8,26,3,0.130653266,8,FALSE,0.125,0.125,percent
5,5,Helio Castroneves,1st Place,23,6,0.115577889,11,FALSE,0.125,0.125,percent
5,5,Jane Seymour,Eliminated Week 7,26,3,0.130653266,7,FALSE,0.125,0.125,percent
5,5,Jennie Garth,Eliminated Week 9,25,5,0.125628141,9,FALSE,0.125,0.125,percent
5,5,Marie Osmond,3rd Place,21,7,0.105527638,11,FALSE,0.125,0.125,percent
5,5,Mark Cuban,Eliminated Week 5,21,7,0.105527638,5,TRUE,0.125,0.125,percent
5,5,Mel B,2nd Place,29,1,0.145728643,11,FALSE,0.125,0.125,percent
5,5,Sabrina Bryan,Eliminated Week 6,28,2,0.140703518,6,FALSE,0.125,0.125,percent
5,6,Cameron Mathison,Eliminated Week 8,25,4,0.138888889,8,FALSE,0.142857143,0.142857143,percent
5,6,Helio Castroneves,1st Place,28,2,0.155555556,11,FALSE,0.142857143,0.142857143,percent
5,6,Jane Seymour,Eliminated Week 7,22,7,0.122222222,7,FALSE,0.15026455,0.15026455,percent
5,6,Jennie Garth,Eliminated Week 9,27,3,0.15,9,FALSE,0.142857143,0.142857143,percent
5,6,Marie Osmond,3rd Place,23,6,0.127777778,11,FALSE,0.144708995,0.144708995,percent
5,6,Mel B,2nd Place,30,1,0.166666667,11,FALSE,0.142857143,0.142857143,percent
5,6,Sabrina Bryan,Eliminated Week 6,25,4,0.138888889,6,TRUE,0.133597884,0.133597884,percent
5,7,Cameron Mathison,Eliminated Week 8,25.5,5,0.163461538,8,FALSE,0.166666667,0.166666667,percent
5,7,Helio Castroneves,1st Place,26,3,0.166666667,11,FALSE,0.166666667,0.166666667,percent
5,7,Jane Seymour,Eliminated Week 7,25,6,0.16025641,7,TRUE,0.166666667,0.166666667,percent
